"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","20/1060","82/9382",0.24390243902439,2.15876668200644,3.761188471312,0.000624652025187899,0.0066874510931881,0.0066874510931881,"3119/3135/3309/3106/3134/4261/3111/6892/821/3122/972/925/3107/3109/1508/6890/6891/3113/1385/10197",20
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","35/1060","180/9382",0.194444444444444,1.72101677148847,3.48581351895298,0.000864336273148011,0.00898909724073931,0.00898909724073931,"3690/3119/208/5293/3135/6347/10929/10000/6772/3106/29992/6429/3134/4939/9021/8503/3111/7187/6892/3122/972/718/6352/6773/3107/3109/8717/9641/8893/4790/6890/6891/3661/3113/5371",35
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","31/1060","154/9382",0.201298701298701,1.78168341092869,3.49060822535525,0.000923469978108463,0.00913883941822144,0.00913883941822144,"784/3784/208/493/481/10000/7169/5350/5566/6546/148/55012/5330/5519/185/1432/64091/108/7168/5578/5502/490/477/107/815/5528/488/1385/5527/111/781",31
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","24/1060","109/9382",0.220183486238532,1.94883157348105,3.55595201527819,0.00092894796284119,0.00913883941822144,0.00913883941822144,"3119/3560/915/7046/6772/6777/2625/3718/3594/4793/4089/4775/4772/3111/6095/5599/1432/3122/50615/3109/3572/4790/50943/3113",24
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","26/1060","122/9382",0.213114754098361,1.8862666254253,3.51643393124208,0.000973418113052298,0.00920821023348612,0.00920821023348612,"208/5293/6655/915/10000/998/55012/4793/3937/1493/8503/5605/4775/4772/5777/5519/5058/5599/1432/5062/925/5788/4790/5528/2534/5527",26
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","22/1060","97/9382",0.22680412371134,2.00743046099981,3.55937410184858,0.000986593953587798,0.00920821023348612,0.00920821023348612,"2775/2791/3708/8863/5592/5566/54331/5579/5330/59345/108/8911/5578/2977/4543/2906/107/815/10681/8913/1385/111",22
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","19/1060","80/9382",0.2375,2.10209905660377,3.53297936956157,0.00119413888942513,0.0108666638937687,0.0108666638937687,"208/5293/6655/10000/10018/558/2549/56034/6198/2064/5579/8503/5605/5728/5578/7039/2065/9542/1956",19
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","21/1060","93/9382",0.225806451612903,1.99860012172855,3.453919826636,0.00135160267954111,0.011999594520804,0.011999594520804,"3688/5915/208/5293/51426/331/10000/5743/8503/7187/3910/3908/3912/1288/5728/1282/4149/3673/3913/4790/9618",21
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","28/1060","138/9382",0.202898550724638,1.79584358764014,3.36125097388735,0.0014099787444293,0.0122198157850539,0.0122198157850539,"3688/208/5293/5586/6196/3676/6347/10000/5879/27330/23396/4210/998/3937/23365/8503/5605/4775/4772/3984/5599/1432/7456/925/64283/4790/644150/3661",28
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","39/1060","214/9382",0.182242990654206,1.61302239463939,3.23749845245331,0.0016343326271804,0.0138348157277596,0.0138348157277596,"208/5293/2775/3135/2767/2791/3708/915/10000/5879/3106/6198/54331/1073/1174/8905/3134/5579/8503/5605/4775/4772/3984/6892/5058/59345/5599/1432/5062/8065/5578/3107/8717/8450/4790/6890/6891/10681/3661",39
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","15/1060","59/9382",0.254237288135593,2.25023984649824,3.43799424065062,0.00185560344200987,0.0153509012020816,0.0153509012020816,"208/5293/51426/6655/10000/6934/2064/2002/8503/5605/5728/3611/999/8313/1956",15
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","24/1060","115/9382",0.208695652173913,1.84715340442986,3.26215839134474,0.00202295372938287,0.0163634479443414,0.0163634479443414,"3784/208/5293/2775/2767/2791/3708/10000/5566/54331/5579/8503/5330/59345/108/1137/1136/5578/107/815/10681/2534/1385/111",24
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","28/1060","142/9382",0.197183098591549,1.74525644432634,3.19357832169872,0.00220213974529286,0.0166967240105512,0.0166967240105512,"3690/208/5293/10288/3726/3708/7046/10000/6772/5879/353514/3937/9021/8503/4772/5599/1432/1513/6773/55423/4286/4790/2534/488/11027/1385/2355/11006",28
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","18/1060","78/9382",0.230769230769231,2.04252539912917,3.29961097829162,0.00224547364413622,0.0166967240105512,0.0166967240105512,"3688/3119/3676/6772/5743/2002/4793/5579/3111/5777/1432/3122/718/1536/7043/3109/4790/3113",18
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","22/1060","103/9382",0.213592233009709,1.89049276424254,3.24311287838191,0.00224763592449727,0.0166967240105512,0.0166967240105512,"208/5293/2775/5054/2767/6347/915/7046/10000/2774/8503/5330/5519/5599/1432/718/8837/6352/714/7043/107/4790",22
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","22/1060","103/9382",0.213592233009709,1.89049276424254,3.24311287838191,0.00224763592449727,0.0166967240105512,0.0166967240105512,"5293/2767/7879/5566/2774/5579/8503/87/5330/3910/3908/3912/1288/5578/1282/7043/3913/107/4790/1281/1278/5269",22
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","44/1060","254/9382",0.173228346456693,1.53323428911009,3.07475669636913,0.00241452664633441,0.0175777539853145,0.0175777539853145,"2767/493/4638/3708/2260/5350/6869/5566/6546/56034/1909/5255/2064/2774/148/952/5579/2321/4775/4772/5733/80228/6865/5330/6915/5136/185/108/8911/5578/3707/7039/490/2906/107/815/7424/2149/488/3357/8913/2065/4916/1956",44
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","37/1060","205/9382",0.180487804878049,1.59748734468477,3.08687412594174,0.00252662399292914,0.0180331594789452,0.0180331594789452,"3119/79685/208/5293/51426/3135/3516/915/10000/3280/10018/6772/5879/3718/3106/3134/4793/3383/4939/8503/3111/7187/6892/5599/1432/3122/6773/3107/3109/8717/9641/7431/4790/6890/6891/3661/3113",37
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","21/1060","98/9382",0.214285714285714,1.8966307277628,3.18436421655973,0.00268533789890771,0.0187973652923539,0.0187973652923539,"949/2767/493/481/3708/5566/5579/5330/185/108/8911/5578/5587/221955/490/477/107/815/8913/1385/111",21
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","35/1060","193/9382",0.181347150259067,1.60509336200997,3.03131146636399,0.00300337755943696,0.0204033421108219,0.0204033421108219,"208/5293/6655/6347/2791/10000/7074/6772/5879/6777/6367/5566/1794/3718/2870/54331/408/998/4793/2869/5579/8503/5330/5058/59345/108/6352/6773/5580/107/4790/10681/4283/111/2868",35
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","11/1060","39/9382",0.282051282051282,2.49641993226899,3.34199855923254,0.003063167769507,0.0204033421108219,0.0204033421108219,"23743/1719/160428/4548/4524/10768/10841/10840/635/55349/7298",11
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","43/1060","250/9382",0.172,1.52236226415094,2.98760029360759,0.00308292257169013,0.0204033421108219,0.0204033421108219,"64750/22841/116988/3560/3135/832/9559/23362/7879/7046/2870/51028/3106/23327/23396/408/998/3134/857/2869/84552/7037/858/10938/7456/1785/3107/116986/30846/9765/9230/644150/58513/9266/5119/2060/84364/5371/55680/1956/2868/30844/6642",43
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","20/1060","93/9382",0.21505376344086,1.90342868736052,3.12474451717968,0.00320889710217002,0.0208578311641051,0.0208578311641051,"3119/3560/3516/915/6772/6777/2625/3718/3594/4793/4775/4772/3111/4094/5599/1432/3122/3109/4790/3113",20
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","21/1060","100/9382",0.21,1.85869811320755,3.08094092778697,0.00346622829476531,0.0221352122683258,0.0221352122683258,"3690/3119/1438/3676/915/2323/3672/914/2057/928/952/1791/3111/7037/3563/3122/925/3673/3109/3113/2814",21
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","19/1060","88/9382",0.215909090909091,1.91099914236707,3.06423179804204,0.00383531787927296,0.0240200027505441,0.0240200027505441,"5648/7056/5054/2244/730/1191/7035/7450/710/718/716/5624/714/2153/715/2149/3075/1361/2",19
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","35/1060","196/9382",0.178571428571429,1.580525606469,2.93122962215328,0.0038933520941816,0.0240200027505441,0.0240200027505441,"208/5293/3135/2791/3708/10000/6772/5879/5743/3106/6934/54331/3134/3383/8503/5605/4775/4772/7187/59345/5599/4277/1432/718/6773/3107/3572/8717/9641/4790/285/10681/3661/9976/1385",35
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","19/1060","89/9382",0.213483146067416,1.88952724189103,3.00912294727539,0.00437359534622585,0.0265331451004368,0.0265331451004368,"2767/6655/3708/2697/5592/5566/56034/5579/5605/5330/108/7846/5578/2977/107/3357/84617/111/1956",19
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","28/1060","149/9382",0.187919463087248,1.66326453083449,2.9125415831308,0.00450852114999073,0.0269033065343709,0.0269033065343709,"9170/208/5293/6655/10000/2549/56034/55326/23396/22808/2912/8503/5605/8525/5330/5321/185/10672/108/1785/8526/5578/107/2149/2534/9266/111/1956",28
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","9/1060","30/9382",0.3,2.65528301886792,3.24074069643542,0.00458443753469496,0.0269150848811124,0.0269150848811124,"1244/1719/4548/113235/4524/6573/8714/4790/7298",9
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","17/1060","77/9382",0.220779220779221,1.95410438617986,3.00017585171726,0.00477691406223398,0.0275999479151297,0.0275999479151297,"208/5293/51426/7046/10000/6772/5879/6198/2064/998/4089/8503/5599/7043/7039/4790/1956",17
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","23/1060","116/9382",0.198275862068966,1.75492843201041,2.91979441548017,0.00487488980008718,0.0277259357379958,0.0277259357379958,"3688/5293/3676/93408/5175/5879/7412/4478/998/3383/5579/8503/87/10398/5010/1432/4313/83700/1536/5578/394/100506658/1003",23
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","26/1060","137/9382",0.18978102189781,1.67974108249552,2.86031582910595,0.00530374346494746,0.0297009634037058,0.0297009634037058,"208/5293/4170/84823/331/3708/10000/10018/4000/2081/55367/63970/1676/8503/5605/3563/5599/1522/1075/8837/1513/7846/8717/1508/4790/6709",26
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","19/1060","91/9382",0.208791208791209,1.84799917064068,2.90100540872898,0.00563779422106717,0.0310932893404311,0.0310932893404311,"2775/2791/5141/5566/2870/54331/408/2869/5579/5136/59345/108/5144/5578/107/5151/10681/111/2868",19
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","15/1060","66/9382",0.227272727272727,2.01157804459691,2.94320333901682,0.00587862624629259,0.031937611248515,0.031937611248515,"3119/6772/2625/3594/4772/3111/4094/6095/3122/50615/7043/3109/4790/50943/3113",15
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","20/1060","98/9382",0.204081632653061,1.80631497882172,2.86360982992681,0.00598456409171077,0.0320350195497459,0.0320350195497459,"208/5293/10000/3635/5879/6198/1073/23396/998/5579/8503/3984/5321/5058/4651/1785/5578/5580/5788/2934",20
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","24/1060","125/9382",0.192,1.69938113207547,2.80929554993703,0.00621964884734393,0.0328109011656984,0.0328109011656984,"208/5293/10000/5879/55012/1903/5579/8503/5605/5330/5519/5599/1432/10672/5728/5578/9517/130367/8717/4790/5528/2534/6609/5527",24
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","22/1060","112/9382",0.196428571428571,1.7385781671159,2.80626871461187,0.00652466991658957,0.0336152555291272,0.0336152555291272,"3688/3119/208/2775/331/10000/6772/4261/4793/3111/3910/3908/5599/1432/3912/3122/7043/3109/3913/3587/4790/3113",22
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","16/1060","73/9382",0.219178082191781,1.93993279917291,2.87720207254647,0.00655682182024184,0.0336152555291272,0.0336152555291272,"5915/208/5293/51426/6655/10000/6777/27436/3718/2064/5579/8503/5605/5578/7039/1956",16
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","25/1060","133/9382",0.18796992481203,1.66371116470421,2.75119389367575,0.00700734023618718,0.0353501793889981,0.0353501793889981,"1644/208/2775/2791/3708/10000/5566/54331/408/2774/55012/5579/5330/5519/59345/5599/1432/5578/50632/815/5528/10681/1385/5527/111",25
