"gene_symbol","RankMetric_GSE104645","RankMetric_GSE28702","RankMetric_GSE39582","RankMetric_GSE69657","RankMetric_GSE72970","N_datasets","MetaRankMetric"
"PPARGC1B",0.374733359046409,-1.60423938326077,-0.372945108632868,-1.21069240927891,0.63366817291909,5,-0.43589507384141
"HCN2",0.0210319079767767,-0.640812666606247,-1.80841078096499,0.669990451043876,-0.421629460235102,5,-0.435966109757137
"C22orf15",-0.467400678978965,-0.925312985559579,-0.794840832187679,0.289079513380783,-0.281409437963756,5,-0.435976884261839
"ZNF282",-0.261586857879715,-0.665316556456669,-0.883012780002016,0.158418103744949,-0.528559887383862,5,-0.436011595595463
"RP11-676J12.6",NA,-0.316769963385404,-0.970828279278977,-0.0977775649652562,-0.358779892604786,4,-0.436038925058606
"SIGLEC11",1.71605930467569,-1.5180024600719,-0.721618321414064,-0.811771964666091,-0.844874457969073,5,-0.436041579889086
"LOC100652824",NA,-0.917743051540581,0.214056745520381,-0.799632519974886,-0.240944575168829,4,-0.436065850290979
"ACADS",-0.389264882410063,-0.438557157763441,-1.2009721401033,0.352598694312288,-0.504153293617453,5,-0.436069755916393
"FKBP6",-0.103370837226537,-0.225494151117756,-0.985574018004502,-0.381025597837726,-0.485230449436482,5,-0.4361390107246
"LINGO2",0.187103974601923,-0.84607564469797,-0.121128404488466,-0.367448460001638,-1.0340218355887,5,-0.436314074034969
"COL20A1",0.204845298194007,-0.231228762404627,-0.253172846232621,-0.630895564750111,-1.27113689881416,5,-0.436317754801503
"PRM2",0.219397082828264,-0.0656060269011469,-0.885806573963727,-0.721081163359069,-0.728788017162399,5,-0.436376939711616
"ZNF808",0.0326135368486271,-0.162228179616651,-0.299341317631479,-0.808312065552913,-0.945218824885015,5,-0.436497370167486
"FCER2",-0.0898719243902965,0.350630921185782,-1.64829187910719,-0.320382058668251,-0.47491166487136,5,-0.436565321170264
"HMOX2",0.324057229888419,-1.61169203545997,-1.12044089706723,0.646521845151838,-0.421570203394827,5,-0.436624812176353
"DALRD3",0.153048223730491,-0.833225265463488,-1.2434521354737,0.468545305637282,-0.729880543807802,5,-0.436992883075444
"FLJ21408",-0.215660667289735,-0.99077843552188,-0.179672681675613,-0.513773049357697,-0.285082217135422,5,-0.436993410196069
"BC034578 /// RP11-411B10.2",NA,-0.537413324647187,0.0574275130959845,-0.352023612943632,-0.916381117323549,4,-0.437097635454596
"PSMD13",0.0729925118419135,-0.944713957184345,-0.83271851609082,0.457796965625408,-0.939677612649258,5,-0.43726412169142
"LOC101928708",NA,-0.864133038434867,-0.912981967672371,0.368599498564052,-0.340927660198417,4,-0.437360791935401
"LOC284632",NA,-0.86914182841881,-0.11865839467231,0.164834652337225,-0.926723608394262,4,-0.437422294787039
"IGHA1 /// IGHG1 /// IGHM /// IGHV3-23 /// IGHV4-31",NA,-0.325077595627448,-1.29461679845938,-0.428196971577471,0.297928673458811,4,-0.437490673051371
"PTN",0.175579404640339,0.161183121564887,-0.868574783821027,-2.13766987405095,0.481601551863769,5,-0.437576115960596
"COL6A1",0.503758180314827,-0.733660784739163,-0.701861363429601,-1.69995126554432,0.443737965852276,5,-0.437595453509197
"KRTAP4-3",0.355642914962052,-0.0865174235062817,-1.16848855819762,-0.174443013255451,-1.11417691991164,5,-0.437596599981789
"RBPMS2",-0.405856058181421,-0.635861128317833,0.481609883703214,-1.58723236999851,-0.0413825291320364,5,-0.437744440385318
"ABTB1",0.609410905275736,1.04975355274384,-0.992503050954887,-1.37433207853535,-1.48112188141416,5,-0.437758510576964
"CTSZ",-0.0172584213004014,-1.60574642137154,-1.62653261915222,-0.548316897991385,1.60879251616558,5,-0.437812368729994
"LYG2",-0.846475350770682,-0.378486553768624,-0.237040448539494,-0.270972599692701,-0.456097981966436,5,-0.437814586947587
