"Gene","HR","HR_lower","HR_upper","p_value"
"BCL2L14",0.486,0.174,1.355,0.167784
"HS6ST3",1.604,0.422,6.102,0.488232
"SLC26A1",1.275,0.535,3.04,0.584059
"CLDN15",0.772,0.547,1.091,0.143081
"RAB42",1.245,0.632,2.449,0.526521
"PTCHD1",1.446,0.878,2.382,0.147596
"M1AP",1.715,0.351,8.384,0.504998
"ZSCAN4",0.389,0.066,2.288,0.296546
"VWA5B1",0.462,0.145,1.471,0.191094
"LINC00311",1.431,0.522,3.919,0.486209
"HTR6",1.395,0.514,3.79,0.513516
"MAGEB6",0.409,0.067,2.484,0.33163
"LOC101930171",0.544,0.2,1.475,0.231339
"RUSC1-AS1",1.151,0.746,1.776,0.52393
"CACNG6",0.916,0.268,3.133,0.88817
"LMNTD1",0.921,0.399,2.125,0.846286
"CIRBP-AS1",0.346,0.108,1.11,0.074418
"AXDND1",0.874,0.595,1.284,0.491095
"ASMTL-AS1",0.885,0.294,2.667,0.828269
"CD200R1",0.871,0.233,3.259,0.837411
"LINC00334",0.873,0.223,3.412,0.844605
"ATOH7",1.241,0.283,5.433,0.774449
"SEC16B",1.165,0.704,1.93,0.552005
"AMER1",0.976,0.403,2.363,0.957044
"NKX6-3",1.271,0.533,3.031,0.588026
"TBATA",1.219,0.478,3.108,0.679014
"EXOC3L2",1.433,0.667,3.081,0.356988
"CABP4",0.694,0.274,1.758,0.441193
"TNFRSF13C",0.812,0.37,1.781,0.603931
"CAMK2N2",1.262,0.445,3.575,0.66159
"ANKRD30BP2",1.371,0.441,4.268,0.585738
"KCNG3",0.521,0.166,1.637,0.264016
"LINC01312",0.552,0.102,2.978,0.489181
"FOXP2",1.283,0.709,2.322,0.40993
"B4GALNT2",0.626,0.388,1.009,0.054495
"FMR1NB",1.03,0.197,5.398,0.972116
"GCSAML",0.631,0.164,2.421,0.50196
"SIGLEC11",1.798,0.511,6.32,0.360552
"IL23R",0.702,0.36,1.37,0.299764
"MAGEB18",1.943,0.309,12.197,0.478588
"CD276",2.099,1.019,4.323,0.044191
"IFNL2",1.943,0.817,4.618,0.132874
"IFNL1",0.992,0.447,2.205,0.985136
"C4orf36",0.895,0.337,2.374,0.822915
"FIGNL1",0.829,0.611,1.124,0.227141
"RIMS1",1.088,0.313,3.78,0.894482
"PITPNM2",0.501,0.158,1.59,0.240914
"PCDH10",5.157,0.479,55.551,0.176173
"TAB3",1.261,0.671,2.371,0.471096
"GRK7",1.552,0.423,5.698,0.507933
"MMEL1",0.836,0.564,1.24,0.373655
"PDE8A",0.675,0.366,1.243,0.206963
"NLRP6",0.769,0.363,1.629,0.493366
