"Gene","HR","HR_lower","HR_upper","p_value"
"C19orf70",0.647,0.408,1.025,0.063839
"C20orf194",1.372,0.985,1.913,0.061577
"MMAB",0.426,0.193,0.94,0.03453
"AGO2",1.05,0.78,1.413,0.746136
"DAGLB",0.763,0.381,1.528,0.444983
"FAM72A",0.875,0.698,1.096,0.245462
"RHNO1",0.912,0.595,1.398,0.672843
"EPC2",1.057,0.651,1.718,0.821838
"HENMT1",0.806,0.634,1.025,0.07817
"ZFYVE19",1.205,0.7,2.075,0.500866
"NCEH1",0.872,0.686,1.109,0.265643
"GNPNAT1",0.705,0.485,1.025,0.067203
"SLC25A26",0.848,0.486,1.48,0.561601
"FAM84B",0.698,0.362,1.347,0.283969
"RPF2",0.963,0.669,1.387,0.839376
"VASN",1.66,1.082,2.546,0.02029
"TRIM47",1.263,0.819,1.947,0.290904
"TRAPPC5",0.497,0.291,0.848,0.01038
"STEAP2",0.917,0.707,1.187,0.50933
"TYSND1",0.314,0.096,1.032,0.05636
"SLC35B4",1.442,0.851,2.444,0.174245
"ATG16L2",1.306,0.72,2.369,0.379211
"GZF1",1.15,0.665,1.991,0.616609
"DDX5",1.248,0.806,1.932,0.321236
"NAA25",1.364,0.838,2.219,0.212039
"AEBP2",0.877,0.441,1.742,0.707109
"MGME1",0.725,0.515,1.021,0.065607
"TPRN",0.856,0.562,1.303,0.467793
"WDR54",1.001,0.746,1.343,0.995896
"LOC101929819",1.359,0.812,2.273,0.242796
"PIGU",0.704,0.497,0.996,0.047334
"GATSL2",1.328,0.832,2.12,0.234501
"LOC728743",0.463,0.196,1.091,0.078289
"IAH1",1.101,0.502,2.413,0.809918
"NPNT",0.887,0.659,1.194,0.428572
"TP53INP1",1.22,0.639,2.331,0.546977
"LOC148413",1.017,0.487,2.123,0.963676
"RNF213",0.968,0.593,1.581,0.896846
"NKIRAS1",0.968,0.635,1.478,0.881837
"CCDC137",0.791,0.508,1.234,0.301689
"EID2",1.032,0.605,1.761,0.906888
"EIF4E3",0.948,0.688,1.306,0.744742
"APOPT1",1.054,0.416,2.669,0.912442
"MIR6845",1.041,0.756,1.434,0.804369
"SAMD8",1.186,0.713,1.97,0.511276
"LINC01578",1.164,0.535,2.534,0.701892
"MIDN",0.928,0.397,2.169,0.863068
"METRNL",1.056,0.755,1.477,0.749082
"DDHD1",1.408,0.712,2.785,0.325314
"C17orf89",0.902,0.319,2.551,0.846017
"PRICKLE2",1.224,0.923,1.625,0.160293
"ALKBH6",0.759,0.463,1.243,0.273494
"TMEM64",0.914,0.709,1.177,0.483799
"PCDH18",1.732,1.223,2.454,0.001987
"BTF3L4",1.295,0.609,2.752,0.501398
"RIMKLB",2.166,1.232,3.808,0.007226
"ELMSAN1",1.502,0.621,3.634,0.366903
"HID1",1.076,0.646,1.793,0.777572
"CPSF2",0.713,0.457,1.11,0.134198
"TMEM41A",0.74,0.441,1.242,0.254631
"WASH1",1.525,0.805,2.889,0.194969
"LONRF2",1.326,0.74,2.376,0.342567
"MOB1B",1.107,0.798,1.536,0.542219
"CTTNBP2NL",1.143,0.726,1.801,0.563054
"KIF21A",1.011,0.605,1.689,0.965978
"CABLES2",0.641,0.452,0.909,0.012546
"PET100",0.536,0.323,0.891,0.016041
"ISCA2",0.621,0.364,1.058,0.079592
"NSMCE3",1.411,0.845,2.355,0.188041
"CCDC12",1.033,0.522,2.042,0.926034
"MTURN",1.18,0.684,2.035,0.552877
"OMA1",0.81,0.558,1.175,0.267441
"COMMD1",1.453,0.749,2.82,0.269122
"DIRC2",0.93,0.532,1.625,0.799408
"SWI5",1.36,0.839,2.203,0.211842
"VANGL2",1.097,0.871,1.382,0.432712
"TRIM56",1.057,0.686,1.627,0.802402
"NAPEPLD",0.979,0.616,1.556,0.927933
"SELM",1.133,0.907,1.415,0.272364
"ARRDC2",1.159,0.573,2.345,0.681808
"ARHGAP31",1.386,0.713,2.694,0.335419
"B3GNT9",1.222,0.74,2.017,0.432851
"TOMM40L",0.972,0.618,1.529,0.90229
"PRICKLE1",1.399,0.97,2.018,0.072078
"BPIFB1",0.827,0.343,1.992,0.671809
"C9orf142",1.046,0.575,1.903,0.882857
"FUK",0.686,0.428,1.098,0.11667
"TMEM218",1.074,0.411,2.806,0.883582
"PPM1M",1.426,0.868,2.342,0.161358
"MBD6",1.017,0.547,1.889,0.957876
"RNF145",1.514,0.832,2.754,0.174396
"RPUSD1",0.717,0.369,1.393,0.32656
"FLYWCH2",0.95,0.446,2.021,0.893436
"LZIC",1.029,0.607,1.746,0.91495
"ZDHHC12",1.049,0.629,1.749,0.854467
"MRFAP1",1.99,0.964,4.106,0.062724
"DCP1B",1.396,0.852,2.288,0.185528
"ATXN1L",1.3,0.654,2.586,0.454213
"FNDC5",0.836,0.299,2.335,0.732838
"ZC3H18",0.604,0.323,1.13,0.114611
"PTAR1",1.019,0.646,1.607,0.934883
"ZNF385A",1.663,0.961,2.876,0.068852
"ZNF436",1.641,0.955,2.818,0.072822
"TIFA",0.79,0.438,1.426,0.434721
"PCMTD1",1.638,1.042,2.575,0.032668
"TTC8",1.216,0.821,1.801,0.328841
"DHRS13",0.765,0.506,1.155,0.202684
"PLEKHG1",1.242,0.888,1.738,0.205095
"ZFP90",1.323,0.714,2.451,0.373081
"LOC100288152",1.004,0.794,1.268,0.974572
"TBCK",1.416,0.885,2.267,0.14698
"ALKBH3",0.719,0.495,1.046,0.08429
"BROX",0.78,0.432,1.411,0.411883
"FAM83H",0.796,0.431,1.473,0.468304
"MANEAL",0.999,0.649,1.538,0.99757
"OTUD1",1.372,0.737,2.553,0.318152
"MIR1909",0.78,0.394,1.545,0.476706
"HEIH",1.367,0.779,2.399,0.275682
"SNORA60",0.804,0.524,1.232,0.316283
"TTC7B",1.195,0.912,1.565,0.197122
"C5orf51",0.785,0.309,1.994,0.611115
"ZBTB9",0.77,0.436,1.36,0.36792
"STK36",1.103,0.627,1.94,0.734141
"ZFAND2B",0.752,0.401,1.412,0.375994
"SBF2",1.644,0.911,2.966,0.098723
"USP42",0.397,0.151,1.046,0.0616
"TBC1D25",1.583,0.673,3.728,0.292829
"WDR36",0.837,0.533,1.315,0.439827
"TUBE1",1.176,0.625,2.212,0.614304
"FMNL2",1.815,0.89,3.702,0.101058
"CHAMP1",1.055,0.654,1.701,0.825933
"UPRT",1.273,0.849,1.907,0.242837
"VARS2",0.93,0.536,1.615,0.797841
"ANKRD13D",1.373,0.598,3.151,0.454292
"ZSWIM6",1.093,0.726,1.644,0.670695
"NDUFV3",0.818,0.504,1.328,0.41658
"KDM2B",0.849,0.543,1.327,0.471555
"SLC30A7",1.565,0.907,2.702,0.107637
"ARHGAP30",1.183,0.503,2.781,0.700616
"TMEM45B",0.885,0.718,1.091,0.251513
"LINC00493",0.996,0.664,1.495,0.985191
"MCEE",1.056,0.686,1.625,0.804492
"TMEM150A",0.867,0.482,1.559,0.632921
"TADA2B",1.443,0.685,3.042,0.334528
"C1orf131",0.794,0.51,1.236,0.306655
"PTRHD1",0.747,0.492,1.134,0.170372
"CLEC14A",1.266,0.771,2.078,0.350502
"KCTD1",1.287,0.689,2.404,0.428616
"SNX30",0.985,0.678,1.43,0.934835
"LRRC45",0.673,0.357,1.271,0.222683
"AMN1",0.948,0.568,1.583,0.838886
"EXOC6",0.892,0.473,1.683,0.724888
"ZNRF2",0.678,0.371,1.239,0.206395
"SUSD1",1.206,0.75,1.939,0.438881
"JDP2",1.995,0.961,4.139,0.063764
"SVIP",0.875,0.579,1.323,0.526605
"DNER",1.471,0.891,2.427,0.131419
"POC1B",0.87,0.642,1.18,0.371852
"ZBTB2",0.806,0.498,1.303,0.37896
"ELMOD3",1.558,0.706,3.439,0.27191
"MED19",0.55,0.284,1.066,0.076816
"FAM91A1",0.825,0.415,1.64,0.583039
"RUNDC1",0.531,0.303,0.931,0.027027
"PKN3",1.186,0.793,1.773,0.405679
"SLC18B1",0.966,0.755,1.236,0.785539
"C6orf1",1.273,0.738,2.196,0.385976
"CRTC2",1.213,0.586,2.511,0.602473
"HAUS8",0.631,0.342,1.165,0.141273
"C10orf35",0.799,0.466,1.37,0.414247
"CHST14",1.584,0.957,2.621,0.073507
"ZNF830",0.885,0.533,1.469,0.636959
"ALYREF",0.866,0.659,1.139,0.303769
"LYSMD3",0.915,0.651,1.286,0.608621
"IFT172",0.854,0.597,1.222,0.388241
"ADSSL1",1.07,0.555,2.063,0.839236
"PCGF5",0.705,0.425,1.169,0.175581
"MITD1",0.787,0.547,1.132,0.196481
"FAM133DP",1.328,0.78,2.262,0.296508
"GORAB",1.062,0.746,1.511,0.739683
"TMEM55A",1.353,0.996,1.837,0.053258
"TRUB1",0.705,0.274,1.815,0.468622
"MIR6859-1",1.396,0.876,2.225,0.160195
"OTUD6B-AS1",0.919,0.644,1.31,0.639007
"ZMAT1",1.468,0.788,2.734,0.226139
"ARL5B",0.966,0.656,1.42,0.85903
"MEX3A",1.032,0.639,1.669,0.89635
"FUT11",1.362,0.892,2.079,0.152352
"C12orf45",0.847,0.545,1.318,0.462612
"JMY",1.105,0.696,1.755,0.672232
"SPPL2A",1.227,0.9,1.673,0.196087
"POC1A",0.768,0.473,1.248,0.286559
"MIGA2",0.968,0.581,1.613,0.899776
"ZNRF3",1.067,0.827,1.377,0.615889
"TMEM42",0.809,0.439,1.492,0.497634
"SHPRH",0.984,0.744,1.302,0.911993
"KLHL15",1.315,0.898,1.925,0.159044
"C19orf25",0.482,0.223,1.044,0.064163
"ARL14EP",0.961,0.62,1.49,0.858945
"MALSU1",0.703,0.365,1.354,0.291782
"RSBN1L",0.865,0.465,1.61,0.647425
"TCEA3",0.848,0.622,1.155,0.295165
"STARD4",0.827,0.635,1.078,0.159567
"BRAF",1.508,0.828,2.747,0.179066
"FRA10AC1",0.751,0.276,2.039,0.573862
"PARP10",0.52,0.192,1.411,0.199408
"TMC4",0.898,0.669,1.207,0.476656
"ARRDC1",1.144,0.506,2.589,0.746386
"TEAD2",1.306,0.746,2.286,0.349473
"TBC1D20",0.901,0.554,1.463,0.672267
"EVI5L",0.98,0.382,2.514,0.965863
"LINC00938",1.69,0.829,3.444,0.148883
"VAT1L",1.267,0.837,1.917,0.264061
"ERI1",0.996,0.669,1.482,0.982525
"PAQR8",0.844,0.659,1.082,0.180738
"CAPS",1.253,0.78,2.013,0.350816
"PPP1R35",1.217,0.752,1.97,0.423088
"PAPLN",1.377,0.877,2.162,0.164112
"LOC100653247",1.216,0.775,1.906,0.394639
"ABTB1",1.93,0.73,5.101,0.184754
"FAM122A",1.353,0.617,2.967,0.450077
"LOC107985971",1.074,0.867,1.33,0.51552
"TRIM41",0.946,0.518,1.727,0.85647
"HES6",0.714,0.559,0.913,0.007205
"MIR1182",1.141,0.808,1.612,0.453879
"FDX1L",0.963,0.512,1.811,0.906383
"RNASEH2C",1.207,0.645,2.258,0.557045
"MARCH9",0.944,0.435,2.049,0.885016
"CREB3L4",0.92,0.635,1.334,0.66136
"RMI2",0.69,0.5,0.952,0.023801
"C3orf58",0.637,0.156,2.607,0.530772
"FAM58A",0.904,0.524,1.56,0.717272
"TANGO6",0.618,0.336,1.138,0.122582
"GGT7",1.016,0.648,1.593,0.945264
"PPIL4",0.951,0.667,1.354,0.7794
"NLRC5",0.679,0.513,0.898,0.006739
"TSTD1",0.954,0.653,1.394,0.808391
"TMEM68",0.859,0.609,1.211,0.385106
"ZBTB47",1.328,0.604,2.919,0.48069
"FAM222A",0.798,0.557,1.143,0.217774
"RCCD1",1.12,0.447,2.809,0.808955
"TMCC3",0.928,0.747,1.152,0.497164
"NHSL1",0.814,0.457,1.45,0.48462
"NRARP",0.752,0.574,0.986,0.038869
"FAM109B",0.976,0.6,1.587,0.920565
"HEATR5A",0.975,0.711,1.337,0.87551
"ZNF71",0.479,0.133,1.722,0.259504
"CCDC127",0.901,0.449,1.808,0.769705
"PHYKPL",0.916,0.524,1.603,0.75936
"LCOR",1.065,0.749,1.512,0.726682
"FAM175A",0.949,0.636,1.416,0.797573
"PODN",2.414,1.212,4.81,0.012195
"MTX3",1.488,0.891,2.483,0.128588
"BMF",2.223,1.162,4.25,0.015732
"ORAI1",0.908,0.563,1.464,0.691293
"HINT3",0.742,0.554,0.993,0.044478
"NSMCE2",0.734,0.475,1.135,0.164088
"CFAP73",0.794,0.384,1.641,0.533225
"FBXO30",1.274,0.72,2.254,0.405671
"EEF1E1-BLOC1S5",1.373,0.728,2.592,0.32763
"CD109",1.252,0.922,1.701,0.150373
"SBK1",0.867,0.551,1.363,0.535723
"IER5L",1.572,1.06,2.331,0.024598
"TEKT4P2",1.164,0.961,1.411,0.120964
"SGPP2",0.875,0.696,1.101,0.254624
"ZSCAN29",1.516,0.911,2.525,0.10945
"ZFAT",0.772,0.353,1.688,0.516066
"TMEM99",1.121,0.804,1.564,0.50117
"TRIM11",0.49,0.251,0.956,0.036514
"FAM102B",0.884,0.66,1.185,0.409057
"CHTF18",0.6,0.404,0.89,0.011083
"DIRAS1",1.325,0.474,3.699,0.591368
"ZNF462",1.568,0.808,3.043,0.183927
"LOC400043",1.284,0.846,1.95,0.24051
"FAM110A",0.679,0.41,1.125,0.132948
"NEIL2",0.935,0.565,1.547,0.794157
"PWAR6",1.399,1.081,1.811,0.010787
"CWC22",0.89,0.595,1.33,0.569678
"ZNF618",1.325,0.97,1.81,0.076523
"UMAD1",0.901,0.635,1.278,0.559031
"REEP6",0.791,0.605,1.033,0.08501
"FHDC1",0.824,0.603,1.126,0.223717
"SAMD9L",0.971,0.734,1.285,0.838442
"C16orf87",0.709,0.373,1.347,0.293702
"CENPV",0.454,0.272,0.756,0.00243
"UBE2QL1",1.591,1.056,2.397,0.026424
"GATSL3",0.855,0.401,1.823,0.685534
"FAM167A",0.559,0.237,1.316,0.182976
"MUC20",1.056,0.828,1.347,0.661486
"PHYHIPL",1.394,1.084,1.793,0.009637
"SLC43A2",1.209,0.589,2.478,0.605139
"ARHGAP23",1.056,0.434,2.569,0.90401
"ANKRD44",1.416,0.709,2.83,0.324406
"MIB2",1.04,0.468,2.31,0.923853
"TMEM25",1.276,0.65,2.504,0.478419
"PANK1",0.77,0.59,1.007,0.056147
"ZFAND2A",1.041,0.746,1.454,0.812771
"MUC12",0.957,0.84,1.091,0.510466
"CDCA2",0.748,0.54,1.035,0.079724
"WDSUB1",0.867,0.579,1.299,0.489904
"PABPC1L",1.155,0.795,1.678,0.449971
"HDAC10",0.918,0.375,2.246,0.851272
"SHISA4",1.394,0.855,2.273,0.182805
"ZNF521",1.263,0.98,1.629,0.071706
"UNC13D",1.891,0.82,4.36,0.135013
"SLC26A11",1.343,0.821,2.195,0.240005
"CISD2",0.898,0.443,1.822,0.76636
"FCHSD1",1.453,0.631,3.345,0.37968
"U2AF1L4",0.746,0.416,1.338,0.325613
"CMPK2",0.846,0.702,1.02,0.079086
"NEURL4",0.844,0.433,1.643,0.617147
"FLJ23867",1.182,0.812,1.719,0.382636
"NAPRT",0.76,0.419,1.38,0.367589
"ROBO2",1.438,0.972,2.128,0.069339
"C8orf82",0.635,0.421,0.958,0.030433
"FOXK1",0.572,0.216,1.511,0.259784
"PRR12",1.326,0.86,2.046,0.201802
"AMIGO1",0.671,0.386,1.166,0.156593
"FAM20C",1.366,0.646,2.889,0.415098
"SVBP",1.143,0.689,1.894,0.60539
"CISD3",0.564,0.344,0.922,0.022526
"SLC27A1",1.699,1.031,2.799,0.037689
"USP37",0.803,0.378,1.707,0.568142
"WDR81",1.923,0.968,3.819,0.061726
"RNF169",0.744,0.414,1.336,0.321976
"SLFN11",1.238,0.969,1.581,0.087106
"CYP4V2",0.77,0.422,1.404,0.394312
"TXNDC16",0.772,0.566,1.053,0.1022
"LYSMD2",0.898,0.642,1.256,0.528794
"MRPS9",0.467,0.284,0.768,0.002703
"CNRIP1",1.294,1.003,1.67,0.047725
"FAM174A",1.04,0.714,1.514,0.83886
"ZNF251",0.903,0.606,1.346,0.616387
"MIR205HG",0.728,0.287,1.846,0.504312
"CCDC71L",1.367,0.718,2.605,0.341202
"LUC7L2",1.265,0.744,2.152,0.384791
"SESTD1",1.311,0.916,1.877,0.138667
"ZNF827",1.529,0.824,2.837,0.177806
"FAHD1",0.559,0.372,0.839,0.00499
"GIGYF1",1.035,0.457,2.341,0.934715
"FIBIN",1.384,1.082,1.77,0.009684
"PPM1K",1.192,0.576,2.468,0.63579
"FAM120B",0.916,0.416,2.018,0.828048
"TDRP",1.413,0.76,2.628,0.274097
"LMBRD2",0.809,0.468,1.398,0.447262
"FMC1",0.924,0.618,1.38,0.698705
"ATP11C",0.705,0.42,1.183,0.185657
"ZNF18",0.975,0.516,1.84,0.937306
"EMB",1.398,1.061,1.841,0.017181
"MORN2",0.882,0.591,1.316,0.538641
"KIFC2",0.643,0.429,0.963,0.032258
"LINC00294",1.251,0.781,2.005,0.350934
"STXBP5",1.133,0.772,1.663,0.523642
"ABHD15",0.586,0.376,0.913,0.018175
"EFCAB7",0.849,0.603,1.193,0.345457
"CHMP4C",0.852,0.662,1.096,0.213118
"FAM20A",1.246,0.754,2.057,0.390867
"FITM2",0.708,0.467,1.072,0.102621
"ZFP1",0.991,0.32,3.068,0.987281
"FAR2P3",1.185,0.952,1.474,0.12851
"TAMM41",0.644,0.25,1.659,0.36179
"KIAA1143",1.084,0.568,2.068,0.80663
"MPEG1",1.098,0.877,1.375,0.41523
"LSM11",0.472,0.213,1.047,0.06463
"STOX2",0.893,0.341,2.34,0.818078
"AFAP1L2",1.35,0.976,1.866,0.069609
"CLMP",1.253,0.984,1.596,0.067682
"SPRED1",1.417,1.002,2.003,0.048375
"TTC32",0.947,0.66,1.361,0.770312
"NR2C2AP",0.613,0.332,1.132,0.117965
"FBXL20",0.822,0.385,1.755,0.612848
"PAPD5",0.817,0.541,1.235,0.337767
"PHYHD1",1.878,1.112,3.174,0.018516
"SUMF1",0.791,0.511,1.224,0.293181
"LYPLAL1",1.078,0.739,1.573,0.696158
"PDP2",0.512,0.33,0.794,0.002766
"TMEM110-MUSTN1",0.984,0.517,1.872,0.961102
"ARHGEF19",0.948,0.594,1.514,0.824313
"DNAJC25-GNG10",1.007,0.649,1.564,0.973534
"FAM110C",0.911,0.747,1.112,0.36079
"ESCO1",0.963,0.519,1.785,0.903824
"GXYLT1",1.037,0.633,1.699,0.883924
"COMTD1",0.704,0.451,1.099,0.122744
"ATG4D",0.485,0.272,0.867,0.014567
"DOCK11",1.148,0.807,1.633,0.442438
"FAM101B",1.345,1.014,1.784,0.039817
"HVCN1",0.785,0.424,1.453,0.440699
"GRPEL2",0.887,0.555,1.418,0.617717
"LRRN1",1.284,0.994,1.658,0.056051
"RNF217",1.174,0.806,1.709,0.403861
"WDR35",0.95,0.637,1.415,0.800089
"XXYLT1",1.383,0.762,2.51,0.286742
"CHCHD1",0.748,0.424,1.318,0.314794
"C17orf58",0.777,0.51,1.183,0.239318
"SLC6A10P",0.659,0.268,1.619,0.363342
"PPP1R14C",0.978,0.836,1.145,0.785628
"LRIG3",0.904,0.649,1.258,0.548487
"ZNF518B",1.217,0.761,1.945,0.412738
"EGFLAM",1.802,1.077,3.015,0.025055
"ZDHHC23",0.755,0.554,1.028,0.074497
"SOX8",1.173,0.987,1.395,0.070347
"DPP9",0.387,0.155,0.968,0.042325
"ANAPC4",1.183,0.699,2.003,0.53096
"JPH4",1.139,0.419,3.097,0.799244
"UBR1",1.355,0.814,2.253,0.242273
"SCFD2",1.283,0.79,2.082,0.314137
"LINC00909",1.005,0.682,1.48,0.980702
"PXYLP1",0.88,0.453,1.707,0.705072
"DMKN",0.968,0.81,1.155,0.715437
"C12orf73",1.144,0.666,1.966,0.626188
"FNDC1",1.093,0.958,1.247,0.184897
"CENPW",0.865,0.651,1.15,0.319176
"CPEB2",1.502,0.759,2.974,0.242855
"FAM69B",1.128,0.409,3.109,0.81541
"HTRA3",1.578,1.019,2.442,0.040761
"RHBDD1",0.418,0.121,1.439,0.166453
"NADK2",0.829,0.577,1.192,0.311135
"EAF1",0.911,0.602,1.38,0.660988
"MED11",1.146,0.683,1.922,0.60549
"CXCL17",0.686,0.424,1.11,0.125021
"PRR15",0.785,0.64,0.963,0.02008
"ZBTB41",1.008,0.746,1.364,0.956465
"DENND6A",1.08,0.619,1.884,0.786531
"PRPF40B",2.047,0.984,4.262,0.055385
"FIZ1",1.121,0.421,2.987,0.818694
"FBXO33",0.964,0.576,1.613,0.8891
"CCDC136",1.01,0.393,2.592,0.984076
"VSTM2L",1.002,0.695,1.444,0.991621
"RNPC3",1.214,0.726,2.028,0.45942
"IGIP",1.246,0.784,1.979,0.352685
"DEPDC1B",0.818,0.634,1.055,0.121644
"FGD5",1.611,1.003,2.587,0.048715
"RGMB",0.947,0.748,1.198,0.646897
"NOSTRIN",0.905,0.721,1.137,0.391446
"LCLAT1",0.675,0.436,1.046,0.078524
"PPP1R14A",1.17,0.963,1.422,0.11498
"HDDC3",0.941,0.55,1.61,0.824056
"ASPHD2",1.018,0.746,1.388,0.910932
"C1orf226",0.761,0.528,1.097,0.143119
"GNPDA2",1.383,0.944,2.026,0.096308
"ZFP41",0.582,0.27,1.252,0.166215
"LOC101927178",1.205,0.834,1.741,0.321576
"PLD6",0.624,0.273,1.428,0.264306
"SGMS2",0.952,0.679,1.335,0.774313
"NHLRC3",1.173,0.792,1.736,0.426277
"YDJC",0.797,0.484,1.311,0.371212
"CCDC159",1.23,0.607,2.491,0.565
"SLC39A11",0.672,0.434,1.04,0.074079
"EEF1AKMT1",1.277,0.882,1.849,0.195704
"METTL7B",0.873,0.643,1.184,0.382135
"RELT",1.15,0.55,2.405,0.70978
"LINC01279",1.067,0.914,1.245,0.41227
"TMEM256",0.849,0.574,1.254,0.4102
"MOB3C",1.161,0.482,2.794,0.73945
"LOC101929796",0.905,0.635,1.291,0.582813
"ZNF414",1.08,0.369,3.159,0.888829
"CCDC18-AS1",1.154,0.703,1.896,0.570485
"ZNF286B",1.383,0.906,2.112,0.133341
"B3GLCT",1.419,0.821,2.453,0.210577
"CCDC146",1.409,0.977,2.032,0.066249
"JOSD2",1.226,0.707,2.127,0.468655
"ZNF800",0.654,0.214,1.995,0.455165
"TRIM35",1.112,0.586,2.108,0.74581
"STARD9",1.936,1.098,3.415,0.022414
"ZBTB34",1.428,0.905,2.253,0.12537
"ADHFE1",0.599,0.281,1.277,0.184423
"RNF214",1.009,0.468,2.175,0.981625
"FOXP4",1.351,0.812,2.248,0.246425
"LINC01000",1.067,0.645,1.765,0.801525
"SYTL1",1.09,0.87,1.365,0.456049
"HPS3",0.759,0.435,1.323,0.330124
"TYW3",0.953,0.674,1.349,0.787793
"PLEKHG5",0.88,0.384,2.015,0.761491
"QSOX2",0.796,0.416,1.524,0.49145
"EGLN2",1.321,0.626,2.789,0.4651
"PLEKHH2",1.977,1.024,3.817,0.042208
"SNX33",1.498,0.65,3.452,0.34307
"IGSF21",1.107,0.54,2.269,0.780849
"PRIMPOL",1.167,0.781,1.744,0.451205
"GHDC",1.061,0.684,1.648,0.790899
"NOM1",0.859,0.52,1.419,0.552639
"GSTO2",0.864,0.63,1.185,0.363525
"SKA3",0.722,0.515,1.013,0.059061
"DNAJC18",1.376,0.622,3.043,0.430666
"RASSF3",0.971,0.585,1.611,0.90811
"MIAT",2.099,1.113,3.958,0.021915
"ZNF316",1.525,0.525,4.427,0.437723
"TMEM116",0.878,0.321,2.402,0.79946
"ELOVL7",0.894,0.721,1.11,0.310788
"LNP1",1.266,0.646,2.481,0.491929
"SUSD3",0.754,0.438,1.297,0.307912
"FNDC10",0.91,0.619,1.337,0.631312
"EVA1C",1.024,0.762,1.376,0.874499
"CPNE5",0.763,0.527,1.106,0.152982
"PRRT2",1.393,0.746,2.601,0.297733
"FAM3B",1.017,0.92,1.123,0.745058
"ZNF503",1.293,0.673,2.483,0.440752
"RHPN2",0.752,0.535,1.057,0.101192
"FBXL17",1.164,0.439,3.084,0.76009
"ZNF213",1.004,0.498,2.025,0.990323
"CCDC84",1.251,0.817,1.916,0.302769
"SFMBT2",1.189,0.616,2.296,0.60509
"ADAT2",0.754,0.455,1.25,0.273376
"CARMIL2",0.954,0.392,2.32,0.917243
"NFXL1",1.108,0.765,1.606,0.587483
"MRAP2",1.01,0.83,1.228,0.923442
"MUC15",0.903,0.452,1.801,0.771314
"NGEF",0.977,0.616,1.55,0.922959
"PDIK1L",0.795,0.559,1.13,0.200255
"HAPLN3",1.096,0.684,1.757,0.703057
"C8orf58",1.13,0.468,2.728,0.785472
"POC5",0.824,0.502,1.353,0.444964
"FAM200B",1.484,0.887,2.48,0.132622
"FGF11",0.689,0.279,1.701,0.419335
"C15orf52",1.423,1.061,1.91,0.018642
"TCEAL3",1.255,0.919,1.712,0.152843
"CCNYL1",0.926,0.665,1.289,0.648426
"PCDH19",1.434,1.106,1.858,0.006498
"ZNF766",1.023,0.591,1.77,0.936409
"CIART",1.247,0.829,1.874,0.289118
"INO80E",1.028,0.637,1.658,0.910516
"BOLA3",0.617,0.392,0.971,0.036875
"C11orf84",1.009,0.572,1.781,0.974834
"ZNF689",0.803,0.481,1.341,0.401582
"IKBIP",1.296,0.892,1.883,0.173917
"MFSD3",0.77,0.536,1.104,0.155349
"TRAM2-AS1",1.754,0.971,3.167,0.062443
"TMEM119",1.287,0.968,1.712,0.083054
"CCT6P1",1.23,0.84,1.8,0.288098
"ANKS3",1.145,0.557,2.354,0.712773
"ACER2",0.757,0.547,1.048,0.093133
"TSPAN18",1.452,0.928,2.273,0.102605
"TMEM178B",0.981,0.485,1.984,0.956358
"ZNF664-FAM101A",1.079,0.777,1.498,0.651369
"INAFM1",1.391,0.89,2.175,0.14759
"ZBTB46",2.586,1.056,6.331,0.037579
"LOC100233156",1.387,0.924,2.081,0.114282
"PXN-AS1",0.833,0.524,1.326,0.441843
"DCUN1D3",1.45,0.774,2.715,0.246068
"USP54",0.881,0.603,1.287,0.513101
"DTX1",0.94,0.438,2.018,0.874136
"ANKRD37",0.972,0.647,1.459,0.889509
"MYEOV",0.936,0.732,1.196,0.594412
"HES4",1.136,0.851,1.517,0.386108
"PARS2",0.659,0.388,1.119,0.122743
"LOC101930115",1.508,0.819,2.776,0.187419
"SWSAP1",0.627,0.359,1.095,0.101101
"TMC8",0.741,0.433,1.268,0.273658
"OSCP1",1.059,0.667,1.682,0.806899
"ATCAY",1.303,0.569,2.985,0.531046
"RILP",1.193,0.693,2.053,0.523938
"FAM171B",1.372,0.637,2.954,0.419075
"MBOAT1",0.801,0.613,1.046,0.103652
"LOC727820",1.192,0.884,1.607,0.249824
"PLPP6",0.707,0.49,1.021,0.064427
"TMEM200B",1.199,0.895,1.606,0.223362
"TUSC1",1.23,0.867,1.745,0.245261
"ANO9",0.791,0.591,1.058,0.11453
"IL17D",0.871,0.563,1.345,0.532578
"UTP23",0.935,0.645,1.356,0.724477
"PPP1R3E",1.067,0.603,1.889,0.823401
"WTIP",1.302,0.739,2.293,0.361765
"UBLCP1",1.264,0.845,1.891,0.254922
"PLAC9",0.993,0.504,1.959,0.984917
"TNFAIP8L1",1.268,0.838,1.92,0.261582
"YBEY",1.187,0.754,1.871,0.459068
"URB1-AS1",1.095,0.632,1.895,0.746879
"ARHGEF25",1.149,0.563,2.345,0.702644
"CRACR2B",0.785,0.512,1.203,0.265714
"ZC3H10",0.535,0.143,2,0.352158
"APTR",0.786,0.435,1.418,0.423746
"WBSCR17",0.566,0.222,1.441,0.232515
"NRAV",0.535,0.255,1.121,0.097441
"COX18",0.884,0.382,2.045,0.773923
"LURAP1L",0.892,0.632,1.26,0.516922
"ERP27",1.059,0.914,1.226,0.446707
"LINC00673",0.978,0.497,1.923,0.948517
"C6orf136",0.849,0.557,1.294,0.446534
"CPT1C",0.935,0.439,1.989,0.860518
