"gene_symbol","logfc_GSE104645","pval_GSE104645","dir_GSE104645","logfc_GSE28702","pval_GSE28702","dir_GSE28702","logfc_GSE72970","pval_GSE72970","dir_GSE72970","logfc_GSE69657","pval_GSE69657","dir_GSE69657","logfc_GSE39582","pval_GSE39582","dir_GSE39582","n_cohorts","n_up","n_down","direction_consensus","consensus_frac","stouffer_z","stouffer_p","stouffer_fdr","mean_logfc"
"TPGS1",0.198261370923797,0.387125486954381,"up",-0.104550838918609,0.533821436421727,"down",-0.0545731293812066,0.570729112898927,"down",-0.144713841362295,0.576090039202103,"down",-0.0564237454319881,0.303841651711653,"down",5,1,4,"down",0.8,-0.838877771924581,0.401537902446154,0.860034916679296,-0.0324000368340603
"ZC3H7B",-0.062635783556846,0.64998784262039,"down",-0.281587329330964,0.0010474581828732,"down",0.0750131187021861,0.198594118577281,"up",-0.118465458904206,0.109997619872738,"down",0.0371874336125817,0.430141257819075,"up",5,2,3,"down",0.6,-0.838829302184584,0.401565104995766,0.860034916679296,-0.0700976038954496
"SPIC",-0.0563405964537501,0.808634002976367,"down",0.0206997319498891,0.826107581768971,"up",-0.0164688644780461,0.558203216105503,"down",-0.0655531402943976,0.483215815565967,"down",-0.0150202099894353,0.527972955931393,"down",5,1,4,"down",0.8,-0.838730154005166,0.401620753122968,0.860034916679296,-0.026536615853148
"PHF6",-0.427979296973522,0.230297102646456,"down",0.125456583258409,0.168450311822245,"up",-0.0247831558783862,0.603120569553554,"down",0.317638147110627,0.24256406853286,"up",0.139415919089287,0.146192213120631,"up",5,3,2,"up",0.6,0.838720112820613,0.401626389118568,0.860034916679296,0.025949639321283
"KLF14",0.07354707001602,0.760253468600911,"up",-0.0626329639176626,0.604491969242942,"down",0.0520507749165462,0.160694032630736,"up",-0.18355133914162,0.196091404130079,"down",0.0239100844248174,0.35081017291785,"up",5,3,2,"up",0.6,0.838625702273525,0.401679382939409,0.860034916679296,-0.0193352747403798
"CCT6P1",0.065893432857842,0.684045438281679,"up",0.100546614988892,0.376580573584839,"up",-0.107419267802664,0.287232770465986,"down",0.274073263356924,0.322107356271592,"up",0.0998440023219589,0.307899275823178,"up",5,4,1,"up",0.8,0.838579177162599,0.401705499609418,0.860034916679296,0.0865876091445906
"PGBD5",NA,NA,NA,0.565267033270361,0.0563175074005046,"up",0.0468444505866539,0.717134341326513,"up",-0.121483260402425,0.363825023288664,"down",0.0248311255930475,0.841374668176319,"up",4,3,1,"up",0.75,0.838553499685884,0.401719913986409,0.860034916679296,0.128864837261909
"MLX",0.330309808711916,0.130411314487502,"up",0.179966282039931,0.0808614547100962,"up",0.0693841177310761,0.460993767004171,"up",0.208577624910674,0.0836366547289254,"up",-0.157281783746557,0.0166701140934536,"down",5,4,1,"up",0.8,0.838485818634294,0.401757909089703,0.860034916679296,0.126191209929408
"BHMT2",-0.666661181418098,0.000896711115973989,"down",0.362712474048131,0.0297228163379357,"up",-0.0326767441739994,0.599019562717705,"down",-0.805832264792573,0.0309147012704146,"down",0.115300251794607,0.268646016701957,"up",5,2,3,"down",0.6,-0.838470986918135,0.401766235675493,0.860034916679296,-0.205431492908386
"OSTM1-AS1",NA,NA,NA,0.0885143429894001,0.662417843820879,"up",-0.00748319615500839,0.889209420662072,"down",0.0249544478467078,0.753802214779332,"up",0.0447575928200443,0.245922015057209,"up",4,3,1,"up",0.75,0.838196849364318,0.40192015625762,0.860102398687091,0.037685796875286
"LINC00518",0.267812503205509,0.342639450271838,"up",0.293979795917846,0.126856795355333,"up",0.00560677522912042,0.835717938798816,"up",0.151492965845482,0.0921405573298948,"up",-0.0296334005247429,0.196858062470662,"down",5,4,1,"up",0.8,0.838168838213317,0.401935885728651,0.860102398687091,0.137851727934643
"LOC401068",NA,NA,NA,-0.0877533720102504,0.455707309168512,"down",0.0339945157174543,0.742417865168245,"up",-0.000630651339217158,0.994656187488104,"down",-0.0872070412321874,0.21645017185781,"down",4,1,3,"down",0.75,-0.838122495767171,0.401961909824501,0.860102398687091,-0.0353991372160502
