"gene_symbol","stouffer_z","stouffer_p","stouffer_fdr"
"ADCY10",-3.1171206373417,0.00182626823204112,0.209015954253117
"LOC283475",-3.11678182995834,0.00182836825430769,0.209015954253117
"ERVMER34-1",3.11663866093259,0.0018292563224592,0.209015954253117
"KAT6A",3.11651822272974,0.00183000369974194,0.209015954253117
"NAA25",3.11647987667699,0.00183024171442347,0.209015954253117
"LINC00673",3.1150036942054,0.00183942606144659,0.209015954253117
"GGNBP2",3.11424247606152,0.00184417865436771,0.209015954253117
"LRTM2",-3.11114712759377,0.00186362061055237,0.209678051917454
"VPS26A",3.10955416737901,0.00187369925046143,0.209678051917454
"DR1",3.10899851429445,0.00187722662284992,0.209678051917454
"LAIR1",-3.10742126317332,0.00188727251694189,0.209786672424103
"ALG10B",3.10318595431573,0.00191449304482103,0.211794228178502
"OSBP",3.10115277753783,0.00192768803874247,0.211834880693939
"TTBK2",3.09966068349053,0.00193742456407668,0.211834880693939
"ZNF394",-3.0975201383169,0.00195147136744729,0.211834880693939
"SECISBP2L",3.09703470188569,0.00195466990396721,0.211834880693939
"PSMB10",-3.09343847600909,0.00197851571841861,0.211834880693939
"ATG7",-3.09218119473817,0.00198691528258752,0.211834880693939
"GLCCI1",-3.0920033785888,0.00198810586362147,0.211834880693939
"CTU2",-3.09149102731394,0.00199154001152198,0.211834880693939
"RPAP2",3.08844499947386,0.00201206933881199,0.211834880693939
"SNX13",-3.08826682050998,0.00201327620371208,0.211834880693939
"PLXNA4",-3.08512733767497,0.00203465022195454,0.211834880693939
"PYCARD",-3.08473525359125,0.00203733415820895,0.211834880693939
"DENR",3.08354773819088,0.00204548289783931,0.211834880693939
"LIN7A",3.08160874578101,0.00205885257722996,0.211834880693939
"PHF7",-3.08127106033734,0.00206118915547742,0.211834880693939
"SAMD3",-3.081232992823,0.00206145271208583,0.211834880693939
"MROH1",-3.07881408849378,0.00207826328739299,0.212617369326608
"KLK11",3.07569702288471,0.00210011126866436,0.213906046884532
"TMEM259",-3.07345812924119,0.00211593378311452,0.214468855358682
"IL16",-3.07042325470835,0.00213755613177902,0.214468855358682
"CXCL9",-3.06950052538266,0.00214417028565589,0.214468855358682
"GNAI3",3.06749582880867,0.00215860473288754,0.214468855358682
"CYB5RL",-3.06465598762263,0.0021792050020528,0.214468855358682
"PARK2",-3.06348616463567,0.00218774320936395,0.214468855358682
"L3MBTL4",-3.06279989014288,0.00219276639284203,0.214468855358682
"LGALS9",-3.06273762875414,0.00219322263748392,0.214468855358682
"SERPINB6",-3.06238446404517,0.0021958122367888,0.214468855358682
"TRUB1",-3.06203244721742,0.00219839620777681,0.214468855358682
"HELZ2",-3.05892803932799,0.00222130499658318,0.215793247168066
"GCNT7",-3.05477560189095,0.00225228970762941,0.216226389579958
"MACROD2",3.05468544638405,0.0022529668020115,0.216226389579958
"LINC00894",3.0533166417673,0.00226326986474937,0.216226389579958
"SMARCB1",-3.05247702925681,0.0022696110128214,0.216226389579958
"DBT",3.05209213365152,0.00227252336265429,0.216226389579958
"PSMG4",-3.05012117114883,0.00228749056613292,0.216758481063768
"CLHC1",3.0479496598806,0.00230408521748987,0.21743981352483
"MLKL",-3.04515318441344,0.00232561826187673,0.218579755418097
"LARP1B",3.04315718820834,0.00234110010887384,0.218828515071396
"ZGRF1",3.04116323030958,0.00235666032614014,0.218828515071396
