"Arm","k","C_train","C_test"
"Pathway",30,0.725071715433161,0.577551020408163
"Gene",50,0.852782558806655,0.6
"Pathway",50,0.757659208261618,0.559183673469388
"Gene",2,0.662414363335696,0.570127504553734
"Pathway",2,0.593668792818332,0.588342440801457
"Gene",3,0.668320340184266,0.555555555555556
"Pathway",3,0.601110323647531,0.597449908925319
"Gene",5,0.706945428773919,0.537340619307832
"Pathway",5,0.613394755492559,0.586520947176685
"Gene",7,0.721001653673518,0.482695810564663
"Pathway",7,0.623080557524215,0.602914389799636
"Gene",10,0.728915662650602,0.497267759562842
"Pathway",10,0.643042759272384,0.597449908925319
"Gene",15,0.789983463264824,0.519125683060109
"Pathway",15,0.645050791400898,0.608378870673953
"Gene",20,0.799196787148594,0.486338797814208
"Pathway",20,0.667021025277581,0.577413479052823
"Gene",30,0.838294353886133,0.451730418943534
"Pathway",30,0.691826128041578,0.599271402550091
"Gene",50,0.869123553035672,0.418943533697632
"Pathway",50,0.745806756437515,0.633879781420765
"Gene",2,0.642857142857143,0.58955223880597
"Pathway",2,0.609382366808109,0.569029850746269
"Gene",3,0.654644035832155,0.569029850746269
"Pathway",3,0.61044318717586,0.576492537313433
"Gene",5,0.67975011786893,0.542910447761194
"Pathway",5,0.61032531824611,0.544776119402985
"Gene",7,0.733026874115983,0.559701492537313
"Pathway",7,0.634370579915134,0.563432835820896
"Gene",10,0.76001885902876,0.455223880597015
"Pathway",10,0.649339933993399,0.578358208955224
"Gene",15,0.76037246581801,0.477611940298507
"Pathway",15,0.703323903818953,0.509328358208955
"Gene",20,0.769448373408769,0.503731343283582
"Pathway",20,0.721829325789722,0.541044776119403
"Gene",30,0.800565770862801,0.51865671641791
"Pathway",30,0.723597359735974,0.582089552238806
"Gene",50,0.873290900518623,0.513059701492537
"Pathway",50,0.763201320132013,0.537313432835821
"Gene",2,0.691543465405086,0.490974729241877
"Pathway",2,0.593731519810763,0.581227436823105
"Gene",3,0.726670609107037,0.449458483754513
"Pathway",3,0.618568894145476,0.570397111913357
"Gene",5,0.766292134831461,0.478339350180505
