"Arm","k","C_train","C_test"
"Pathway",5,0.623181549379066,0.615523465703971
"Gene",7,0.761561206386753,0.516245487364621
"Pathway",7,0.628622117090479,0.613718411552347
"Gene",10,0.77551744529864,0.537906137184116
"Pathway",10,0.665996451803667,0.608303249097473
"Gene",15,0.809934949733885,0.509025270758123
"Pathway",15,0.68622117090479,0.574007220216607
"Gene",20,0.815848610289769,0.525270758122744
"Pathway",20,0.68976936723832,0.588447653429603
"Gene",30,0.83926670609107,0.581227436823105
"Pathway",30,0.746303962152572,0.548736462093863
"Gene",50,0.879361324659965,0.586642599277978
"Pathway",50,0.76274393849793,0.525270758122744
"Gene",2,0.680258005067957,0.445344129554656
"Pathway",2,0.617484450587422,0.487854251012146
"Gene",3,0.709053213545266,0.441295546558704
"Pathway",3,0.635567841511173,0.534412955465587
"Gene",5,0.722644551946556,0.45748987854251
"Pathway",5,0.637871458189357,0.481781376518219
"Gene",7,0.738539507026031,0.504048582995951
"Pathway",7,0.653651232434923,0.487854251012146
"Gene",10,0.760539046302695,0.54251012145749
"Pathway",10,0.694310066804884,0.491902834008097
"Gene",15,0.776894724717807,0.552631578947368
"Pathway",15,0.719649850264916,0.481781376518219
"Gene",20,0.818359824925132,0.625506072874494
"Pathway",20,0.750518313752592,0.483805668016194
"Gene",30,0.849919373416264,0.576923076923077
"Pathway",30,0.759963142133149,0.508097165991903
"Gene",50,0.879520847730938,0.572874493927126
"Pathway",50,0.791868233126008,0.473684210526316
