"gene_symbol","logfc_GSE104645","pval_GSE104645","dir_GSE104645","logfc_GSE28702","pval_GSE28702","dir_GSE28702","logfc_GSE72970","pval_GSE72970","dir_GSE72970","logfc_GSE69657","pval_GSE69657","dir_GSE69657","logfc_GSE39582","pval_GSE39582","dir_GSE39582","n_cohorts","n_up","n_down","direction_consensus","consensus_frac","fisher_p","stouffer_z","stouffer_p","fisher_fdr","stouffer_fdr","mean_logfc"
"C4orf17",0.0769504765236946,0.659215048820185,"up",-0.582868912164336,0.61978203974947,"down",-0.0823097000437236,0.537276948067317,"down",8.25181598793364,0.501210381274608,"up",0.00428117214669801,0.923627727920233,"up",5,3,2,"up",0.6,0.917818420648685,-0.0789839612699641,0.937045380256932,0.945765565599743,0.9756433622183,1.79964524976242
"OR13C4",-0.0887893059604808,0.659228881684982,"down",-8.16638946678698,0.230384175859756,"down",-0.128010190713055,0.217876455460891,"down",-4.0421681749623,0.543725954370762,"down",-0.0672443246825108,0.0960382551637004,"down",5,0,5,"down",1,0.239652292325891,-2.38076326087599,0.0172768111051548,0.455455414345999,0.169147637157693,2.49852029262107
"FASLG",-0.125788762735215,0.659249592686331,"down",2.57315343824776,0.327584506175189,"up",0.143700673074229,0.368224444533903,"up",-2.64657390648567,0.343631577122641,"down",-0.0745397496804707,0.290127053258035,"down",5,2,3,"down",0.6,0.469482008603298,-0.19771634939361,0.843266997263679,0.645478224632463,0.940485621608336,1.11275130604467
"FAP",0.146642483832794,0.659280183681406,"up",2.48993032653261,0.957296791722504,"up",-0.257466299938348,0.580687840833444,"down",-394.215147812971,0.0734223196027934,"down",0.122340364619262,0.595216527309813,"up",5,3,2,"up",0.6,0.60264823002523,-0.175451683112489,0.860724733092375,0.738905122903439,0.947287253132427,79.4463054575788
"ABCC10",0.0703619731840268,0.659359092873162,"up",-13.3433388741726,0.105733874810475,"down",-0.354628558898187,0.00552027638573031,"down",20.8990407239819,0.3756785820349,"up",0.0656360127163203,0.442007965503296,"up",5,3,2,"up",0.6,0.0364256347563855,-1.15806765445523,0.246836428549499,0.194977453224895,0.566744782003929,6.94660122859061
"ATP12A",-0.0974380645303088,0.65937885346462,"down",9.28191249426276,0.39576682595275,"up",-0.145583135109916,0.190892623096807,"down",7.61962745098039,0.151729291550994,"up",-0.0544102350766366,0.387881517439921,"down",5,2,3,"down",0.6,0.308152530287354,-0.649266543310454,0.516166106997426,0.517561610600527,0.773687818150684,3.439794275992
"DNALI1",0.0851131221064614,0.659391137747109,"up",8.12256637343799,0.176321372386722,"up",0.0665612878135795,0.689732934176602,"up",-17.305104826546,0.20375923359438,"down",-0.154119176189559,0.096607161551859,"down",5,3,2,"up",0.6,0.229173823802755,-0.299468574900211,0.764582546033131,0.446169053541991,0.907931521735997,5.14669295721872
"TRIP4",-0.0663756917089888,0.659442543961332,"down",27.8343350001399,0.0632648759409834,"up",0.0643972572897603,0.545889924947024,"up",-9.69347209653101,0.848273063003369,"down",0.0608542431651451,0.366030161065974,"up",5,3,2,"up",0.6,0.449006133725181,1.3007346085664,0.193349311706851,0.630522673903891,0.512377958850886,7.54388685776696
"SPR",0.0743182913258064,0.659473558062833,"up",-31.6943700527545,0.126500239411984,"down",-0.22161216861526,0.0463047663584129,"down",126.630643288084,0.224408680043979,"up",-0.16994795141666,0.0149940663784915,"down",5,2,3,"down",0.6,0.0127442068123405,-2.46666212852312,0.0136378973628975,0.129359673961457,0.152388462860384,31.7581783504392
"CEP164",-0.0880559904920063,0.659570319858345,"down",-15.3694343579195,0.574562823344861,"down",-0.323214165035553,0.0116542033865864,"down",-7.50988763197587,0.0207349062178779,"down",0.0845898139759392,0.178358618609926,"up",5,1,4,"down",0.8,0.0148790308972448,-1.46959926922877,0.14167031832206,0.136754516101288,0.446177448048819,4.67503639187977
"MAF1",0.064740316761006,0.659611864947767,"up",-48.8003426087625,0.271530955563444,"down",-0.315842982849066,0.0816950168046179,"down",-44.3389849170436,0.801576460890503,"down",0.0174336280594888,0.841445345126458,"up",5,2,3,"down",0.6,0.509796226421531,-1.03813514857739,0.299207139668617,0.674717643657329,0.613509477417203,18.7074688906951
"DNAJC19",-0.0977607484268316,0.659645481700102,"down",26.2581345493472,0.415313065796636,"up",-0.0721204559470665,0.576291048232442,"down",154.98469984917,0.402172164181605,"up",-0.118685382950562,0.100928649474756,"down",5,2,3,"down",0.6,0.43174088510633,-0.877815294802915,0.380043962872426,0.61831246530481,0.678991653375983,36.3062801971683
"LOC440040",0.0921402799694384,0.659647283503185,"up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0921402799694384
"NADK2",0.078701986624451,0.659724065231437,"up",111.968804562781,0.00866368878911352,"up",0.258348947656566,0.258149175264204,"up",20.0409524886878,0.594005212001798,"up",-0.156202572396822,0.223404873665534,"down",5,4,1,"up",0.8,0.0726816533650752,1.25775047426762,0.208482011847765,0.262698505598068,0.529840129092445,26.5006021116293
"NR1D1",0.0791020636090324,0.659745248899724,"up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0791020636090324
"CLMP",0.0756706146915928,0.659755656411104,"up",-7.7773093597386,0.177401195482208,"down",0.496344583194141,0.264808442641341,"up",-191.820049019608,0.00794380778479643,"down",0.284855545503327,0.170122540860596,"up",5,3,2,"up",0.6,0.0277648079815868,0.345706400869651,0.729563373348541,0.174466546547401,0.893611527174648,40.0908458245471
"MDN1",0.0892900687971105,0.659828195617343,"up",0.959585982361501,0.0752023636569044,"up",0.136456417987812,0.328330605002359,"up",99.4631915535444,0.0600177603836378,"up",0.125626696784494,0.251789921681852,"up",5,5,0,"up",1,0.0832382065634915,2.50314047982261,0.0123096673416979,0.279053569656554,0.145734297547038,20.1548301438951
"LYVE1",0.0773738708285884,0.659849918178406,"up",4.20569588591299,0.214639376873736,"up",-0.186309085367945,0.522774578799199,"down",-263.492095022624,0.182562796403305,"down",-0.221253995431923,0.121177542515753,"down",5,2,3,"down",0.6,0.233413133734728,-0.806342790432748,0.420045224007624,0.450285179252035,0.711022224993229,53.6365455720331
"PECAM1",0.061734311645136,0.659906693031727,"up",-25.8767613198439,0.0300795123917456,"down",0.391335373875948,0.0697645432551098,"up",-402.126969834087,0.0455085249266952,"down",0.18386491059997,0.227373443526596,"up",5,3,2,"up",0.6,0.0136174149669735,0.424118625289519,0.671479302841027,0.132504988769039,0.8644733630638,85.7281331500104
"SNHG7",-0.0718184948139281,0.659962497857376,"down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0718184948139281
"PNPLA7",-0.0996737694817559,0.659972737539959,"down",-0.938849997761078,0.126571929234802,"down",-0.214696495646868,0.15267081122481,"down",-13.2103883861237,0.1389180734671,"down",-0.0310824221387397,0.325447270079647,"down",5,0,5,"down",1,0.135124879647081,-2.43560516623862,0.0148669022780272,0.345661228718542,0.158228854727771,2.89893821423043
"VPS33B",-0.078582414680519,0.659985341420184,"down",11.9971142837552,0.165625685857818,"up",0.151612114675274,0.106721847917488,"up",-8.80285444947209,0.796746865307145,"down",-0.0225071366561406,0.703222615034413,"down",5,2,3,"down",0.6,0.435176784083663,0.865724573019926,0.386641221083909,0.620625634346819,0.685020154721032,4.21053407984784
"BTNL3",-0.121658605443764,0.66002014340512,"down",4.66342021885451,0.575397087136671,"up",-0.102269087471189,0.648820422664675,"down",42.0160588235294,0.654620714295407,"up",-0.0874938057906055,0.481359400942091,"down",5,2,3,"down",0.6,0.883624256308023,-0.494500310500827,0.620952887121977,0.925038612559073,0.837289794759116,9.39818010821789
"PTH2",-0.111098298093069,0.660029545159577,"down",8.76305013538477,0.426787453408114,"up",-0.0743012762862682,0.539228446225767,"down",-1.17296304675717,0.731257384974016,"down",-0.0873450366213697,0.0513332819285791,"down",5,1,4,"down",0.8,0.411701596435806,-1.37217337531454,0.170009471695294,0.602377701285858,0.484111782178058,2.04175155862853
"OTOP1",-0.0930282931271589,0.660105376234377,"down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0930282931271589
"BST1",0.0885531705132532,0.660120062590717,"up",-9.18653631445642,0.270215081277573,"down",-0.131650546299176,0.427101154928523,"down",-26.7500384615385,0.512556462151947,"down",-0.0623134925722219,0.534461802239446,"down",5,1,4,"down",0.8,0.654324762144692,-1.13604370352808,0.255938274116381,0.773759952963286,0.574644699109536,7.24381839707591
"KCNH4",0.115463993329841,0.660126762002425,"up",-0.99368576753005,0.225998306423793,"down",-0.181941757005234,0.0945110446603533,"down",-0.79862518853695,0.768256393198436,"down",-0.066709790897067,0.105516659899683,"down",5,1,4,"down",0.8,0.194613738509349,-2.08711848230816,0.0368774257644262,0.410043458724347,0.24130813116005,0.431285299459828
"TRPC2",0.0904477338583956,0.660199846743162,"up",-0.385648681205658,0.719315694540466,"down",-0.0509358261155341,0.582407920813183,"down",-0.687330316742078,0.877287257896472,"down",-0.0019414069832066,0.952379273598307,"down",5,1,4,"down",0.8,0.983025259416334,-0.279392028532648,0.779943987924368,0.987770927563215,0.912948802971677,0.243260792980974
"GINS3",0.0880132485237641,0.660207801678962,"up",-9.41325515322614,0.293099686491523,"down",0.3359768021038,0.14668449421471,"up",52.6538612368024,0.310586243438066,"up",-0.153132458373531,0.124303777275947,"down",5,3,2,"up",0.6,0.190425332302096,-0.126689509398103,0.899186149218587,0.405431684235113,0.961308744330911,12.5288477798059
"UHRF1BP1",0.0954875162373846,0.660216477232979,"up",-4.22257297514098,0.0185163513906629,"down",0.144684574460386,0.307635939803273,"up",-4.54425490196078,0.15668979706949,"down",-0.0499422906521183,0.137107577677377,"down",5,2,3,"down",0.6,0.0422468576615511,-1.42109298128087,0.155289730176846,0.20719622346133,0.464278921916335,1.81138845169033
"LOC101927592",-0.129714336313392,0.660247420397695,"down",0.616180109077425,0.784567393731404,"up",0.202110995461426,0.160787600357245,"up",-3.2046342383107,0.409739902085568,"down",0.00706458642141297,0.868076556307664,"up",5,3,2,"up",0.6,0.721825729926986,0.487243992176927,0.626085433109222,0.818977995257607,0.839494775774008,0.831940853116871
"HILPDA",0.169834628565373,0.660296902246948,"up",-12.4929209178875,0.776138202881678,"down",0.111715925070195,0.577278068318888,"up",179.795078431372,0.621459324682296,"up",-0.0810273740737203,0.660850924304168,"down",5,3,2,"up",0.6,0.93709381543567,0.237032778978809,0.812631360814419,0.957745365413651,0.927301214384064,38.5301154553938
"ARMC1",-0.1296543153364,0.6602994127434,"down",92.5501099862166,0.165601799430688,"up",0.125257761797194,0.533971104013194,"up",109.6102066365,0.323647517379867,"up",0.231187529576713,0.00964967657331038,"up",5,4,1,"up",0.8,0.0696532003208634,2.35694032287363,0.0184262077887715,0.257909834941232,0.174150831355619,40.5292832458854
"SLC38A3",0.0836250596678819,0.660335078955144,"up",3.56302962589032,0.0166760509595268,"up",-0.209149435309581,0.141132120821491,"down",5.56237481146305,0.1511836232437,"up",-0.0605270581537998,0.441146231889531,"down",5,3,2,"up",0.6,0.0493546143149755,0.356856808858162,0.721199005075558,0.220962438060343,0.889089961487891,1.89574119809693
"IQCH-AS1",0.0508484912191637,0.660380171540683,"up",3.33636255765222,0.608353159090792,"up",-0.103869638570263,0.510770758551565,"down",19.240128959276,0.103262127771615,"up",0.171614102908116,0.0192455082004404,"up",5,4,1,"up",0.8,0.11137081412744,1.80472140419342,0.0711182886798358,0.315696902050784,0.322073180663052,4.58056474992515
"PPP2CB",-0.0938892246842631,0.660397543158738,"down",0.485217286427939,0.892649106221591,"up",0.110042588027785,0.383244402545704,"up",-42.1221387631978,0.87123692149152,"down",-0.172467074181682,0.00468561388895299,"down",5,2,3,"down",0.6,0.174028900852948,-1.36003002924264,0.173820421346969,0.388145522291767,0.489440977452959,8.59675098730389
"CRYBB3",-0.105922207060405,0.660423659827207,"down",0.276056175328491,0.507156795444084,"up",-0.23394711518161,0.0548846124181289,"down",1.3523484162896,0.798419381579074,"up",-0.0207288967035097,0.698982425299885,"down",5,2,3,"down",0.6,0.51706799158061,-1.03912327470415,0.298747407683244,0.679675118785764,0.613428477363426,0.397800562112723
"SLC45A1",-0.093544637382757,0.660450294944674,"down",-0.166123267005302,0.938156861371144,"down",0.178274564206811,0.0582664952842915,"up",-29.5227187028657,0.179619995652393,"down",-0.0485725363511647,0.280332516108542,"down",5,1,4,"down",0.8,0.245689800233098,-0.241036543744538,0.809526793536018,0.460925588377001,0.925437632472128,6.00184674156235
"WARS2",0.0807905836771709,0.660544708511247,"up",-0.678278387837063,0.31498936181836,"down",0.293973594214214,0.0867996833887771,"up",69.1273838612368,0.140229609065769,"up",-0.0147098627976623,0.5606011636632,"down",5,3,2,"up",0.6,0.217337127691707,0.670883440852254,0.502294786084361,0.433715360878072,0.765370596327749,14.0390272579526
"LOC100130920",0.115872313271586,0.660562744269414,"up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115872313271586
"FAM182B",0.075991743613866,0.660642581980284,"up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075991743613866
"KLHL1",0.077213345262805,0.660654146205981,"up",0.195190298371185,0.809821681178388,"up",0.0741840168107842,0.26657692360571,"up",2.77443137254902,0.164880766689885,"up",-0.0674346460326268,0.0983677427313862,"down",5,4,1,"up",0.8,0.275909412657629,0.250144466593331,0.802475629400847,0.488936628788257,0.922931867565902,0.637690735805284
"LYPD6",0.0769084690376331,0.660728911649538,"up",9.07750238997802,0.322378662757228,"up",0.211416087916561,0.193204600632916,"up",17.9836674208145,0.0312973543751076,"up",-0.147976075386771,0.0263453677741871,"down",5,4,1,"up",0.8,0.0242023446341338,0.508145522811093,0.611351292228895,0.165586202943647,0.830980075636272,5.4994940886267
