"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582"
"DMRTC1","down",NA,NA,NA,NA
"CAND2","down","down","up","down","down"
"C14orf80","up","down","down","down","down"
"TMPRSS3","up","up","up","up","up"
"POFUT2","up","down","down","down","down"
"OCIAD2","up","down","down","up","up"
"ZNF26","down","up","up","up","up"
"ATXN7L1","down","down","up","up","down"
"TNPO1","down","up","up","up","up"
"ADAM17","down","up","down","down","up"
"ZNF639","down","down","up","up","down"
"NEK3","down","down","up","up","down"
"ACE2","down","up","down","up","down"
"MCPH1","down","down","up","up","up"
"B9D1","up","down","down","up","down"
"HTR1F","up","up","down","down","up"
"CLIC6","down","down","up","down","down"
"SLC25A17","down","up","up","up","down"
"PRKAG2","down","up","up","down","down"
"NEK2","down","down","up","up","down"
"MAP3K14","down","down","down","down","down"
"FAM182A","up",NA,NA,NA,NA
"TAS2R3","down","down","up","down","down"
"ARID4B","down","up","down","up","up"
"STXBP3","down","up","up","down","up"
"PNMA2","up","up","up","up","down"
"ANKRD36BP1","down",NA,NA,NA,NA
"PDXDC1","down","down","up","down","down"
"WDR4","up","down","down","up","down"
"TMEM161B-AS1","up","up","up","down","up"
"NEK8","down","up","up","up","up"
"FANCF","down","down","down","up","down"
"LOC652276","down","down","down","down","down"
"SMYD3","up","down","up","down","up"
"HBB","up","down","up","down","up"
"BMP2K","down","down","up","up","up"
"MUS81","up","down","down","down","down"
"B4GALNT2","up","down","down","up","down"
"GSTM5","down","down","down","down","up"
"ZBTB2","down","down","up","up","down"
"GUCY1A3","up","down","down","down","up"
"ADAT2","down","up","up","up","up"
"RABGAP1L","down","up","up","up","down"
"WNT2B","down","up","up","down","down"
"COX11","down","up","up","up","down"
"SLC35A5","down","up","down","up","up"
"C15orf39","up","down","down","down","down"
"ETNPPL","up","up","down","down","down"
"UTS2","down","down","up","down","down"
"DMTF1","down","up","down","up","up"
"NAXD","down",NA,NA,NA,NA
"GOLGA8F","down",NA,NA,NA,NA
"DMXL2","down","up","up","down","up"
"DDX24","up","down","up","down","up"
"HOXA10","down","down","down","up","down"
"DPY19L1P1","down","up","down","up","up"
"TM4SF1","up","up","up","down","up"
"TMX4","down","down","up","down","down"
"SEMA6D","down","down","down","up","down"
"ZNF721","down","up","up","down","up"
"PIAS2","down","up","up","down","up"
"TMEM106B","down","up","down","up","up"
"INIP","down","up","up","up","down"
"BPESC1","up","up","down","down","down"
"LIFR","down","up","up","down","up"
"PARP8","down","up","up","down","up"
"NBAS","down","up","down","down","up"
"TBK1","down","up","down","up","up"
"KLF9","up","down","down","down","down"
"CCR2","up","up","up","down","down"
"ABHD13","down","down","up","up","up"
"RBM41","down","up","up","up","up"
"UBE2D3","down","up","up","up","up"
"CENPI","down","down","up","up","down"
"TSPAN6","down","up","down","up","down"
"KPNA4","down","down","up","up","up"
"NBL1","up","down","down","down","down"
"COQ10B","down","down","down","down","up"
"ZBED6CL","down","up","up","up","down"
"WFDC2","up","down","down","down","down"
"GSE1","down","up","down","up","down"
"CETN4P","up",NA,NA,NA,NA
"PAF1","down","down","up","up","down"
"HMGXB4","down","down","up","up","up"
"SFTA2","up","up","up","down","up"
"LRRC8B","up","up","up","up","up"
"MRE11A","down","up","down","up","down"
"ANPEP","up","up","down","down","up"
"TMEM81","up",NA,NA,NA,NA
"PLEKHH2","down","down","down","down","up"
"PFKFB4","up","up","down","down","down"
"TKT","up","down","up","up","down"
"ZMYND8","down","up","down","down","up"
"TMEM252","down","up","down","down","down"
"MASP2","down","up","down","up","down"
"SAAL1","down","down","down","up","down"
"PTTG1IP","up","down","down","up","up"
"OCR1","down","down","down","up","up"
"UBE3B","down","up","down","up","down"
"DNAJC18","up","up","up","down","up"
"TNRC6A","down","up","up","down","down"
"ARHGEF25","down","up","down","down","up"
"IMP3","up","down","down","up","down"
"SLAMF6","down","up","down","down","up"
"HBG2","up",NA,NA,NA,NA
"GDE1","down","down","up","up","down"
"CYB5D1","up","up","up","up","down"
"MYRIP","down","up","up","up","up"
"SLC14A2-AS1","down",NA,NA,NA,NA
"TANGO2","down","down","up","down","down"
"SLC25A40","down","down","up","up","down"
"C1orf50","up","up","up","down","up"
"MARCO","up","down","down","down","up"
"MRPL42","down","up","up","up","down"
"CLP1","up","down","down","up","down"
"KRAS","down","down","up","up","up"
"HLA-A","up","down","up","down","down"
"ADAMTS15","up","down","down","down","down"
"GBGT1","down","up","down","down","up"
"BEST3","down","up","up","down","down"
"PSG9","down","down","down","down","down"
"PRMT6","down","down","up","up","down"
"ERN1","down","up","up","up","down"
"CCDC7","down","down","up","down","up"
"METTL12","up",NA,NA,NA,NA
"WDR20","down","up","up","down","up"
"FOLR3","up","down","down","down","down"
"LOC728739","up",NA,NA,NA,NA
"ZNF711","up","up","up","up","up"
"DHRS12","down","down","down","up","down"
"HAS2","down","down","up","down","up"
"MLPH","up","down","up","down","up"
"TBRG1","up","up","up","up","down"
"FBXW9","up","down","down","down","down"
"HSPB6","down","down","down","down","up"
"CLN3","down","down","down","down","down"
"ZNF669","down","down","down","down","down"
"NKRF","down","up","up","up","up"
"PSCA","up","down","up","down","down"
"ADIPOR2","down","down","up","up","down"
"LEPROTL1","down","down","up","down","down"
"EPPK1","up","down","down","up","up"
"GGA2","down","down","up","down","down"
"HNRNPD","down","down","up","up","down"
"FOXP2","down","down","down","down","up"
"D2HGDH","up","down","down","up","down"
"OCLM","down","down","down","down","up"
"CDCA5","up","down","up","up","down"
"ATRN","up","up","down","down","down"
"HBD","up","down","down","up","up"
"SKA1","up","up","up","up","down"
"CAMSAP1","down","up","up","down","up"
"MYO1G","up","down","down","down","down"
"CASP8","down","up","down","up","down"
"PSG1","down","down","up","up","up"
"CST6","up","down","up","up","up"
