"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval"
"209875_s_at","turquoise",1,0.026939274690096,0.678608397838573,0.667862867869662,3.08537473613863e-32,0.300039667333196,2.31864622991042e-06,0.528114030602682,1.441955025112e-18,0.030748507582428,0.636227407425985,-0.177203926523586,0.00601584793202984
"228241_at","grey",0,-0.0373987765301215,0.565060581980689,-0.290197860180804,5.08211855379161e-06,-0.165723349499075,0.0102772391741017,-0.145959929125439,0.0240233891931468,0.0964680398683129,0.13701188449028,-0.0322901323221029,0.619396576140709
"205513_at","grey",0,0.0342125186243854,0.598684054193649,-0.0107070704064504,0.869208302564636,-0.117708627406114,0.0692920639568332,0.0205791034291573,0.751614840449622,0.0866645634264751,0.181781112524461,-0.153205625855228,0.0177836091156587
"207814_at","grey",0,0.0794334553870165,0.221138082680221,-0.302486819954377,1.89898996816339e-06,-0.196373412465121,0.00229076082421506,-0.245521415921877,0.000125754138437582,0.023967914862416,0.712392114066245,0.136635103359649,0.0347582093476192
"227174_at","grey",0,-0.0321055853085289,0.621401200919061,0.0386560692470356,0.552045661597272,-0.00991303302577046,0.878830402473532,-0.0152530151127922,0.814532198380493,-0.0796584062354478,0.219828824328817,0.0676502691628105,0.297616486180572
"205767_at","grey",0,0.0345751132834358,0.594812577004959,0.0117297339866412,0.856844217563874,-0.077758385903794,0.231062169580102,-0.129717585292549,0.0451404256902465,-0.0859297343206777,0.185527343260794,0.382913803839625,9.14545377268784e-10
"209942_x_at","grey",0,0.0428214309353643,0.51000184412639,0.0969185589842443,0.135178641859819,0.0621028385797737,0.339084265734346,0.0861441560406105,0.18442838614059,0.0875330033071297,0.177425974918659,-0.0340718796932968,0.600188727558671
"214612_x_at","grey",0,0.0549948925368367,0.397338696775176,0.0979813259117008,0.130928706896295,0.0597883802440642,0.357424585764109,0.0903128296971455,0.164004730276109,0.0847305989491633,0.191761974246242,-0.0226935998259319,0.727059161043221
"203908_at","grey",0,-0.0112620383910862,0.862494552790159,-0.21777122373429,0.000699474130775455,0.0303329949364603,0.640796398989217,-0.0277856454657089,0.669098105338977,0.278521801295532,1.24217477965092e-05,-0.158032834674908,0.0144568130097418
"219727_at","grey",0,0.0712561460289594,0.272548199928711,-0.342363007392883,5.63415484541794e-08,-0.324396803781664,2.92661075170328e-07,-0.224897863298933,0.000459017351927886,0.184124754957794,0.00428968137502368,0.138397426197557,0.0324634310179807
"204607_at","grey",0,0.0355330358011191,0.58463977508223,-0.254890497328793,6.72285569415311e-05,-0.0660225430348249,0.309418950635919,-0.301408997730883,2.07401258044664e-06,-0.0179872575702838,0.782055969758386,0.192125623664674,0.00285949089809196
"227194_at","grey",0,-0.0282872296401385,0.663486696705241,-0.101129029712249,0.118944278995198,-0.0991807681693112,0.126256727379281,-0.206395809180064,0.00133340326791619,-0.110770510620496,0.0874963700168614,0.21996514406162,0.000615270084372088
"224646_x_at","grey",0,0.0228275912416796,0.725512160154763,0.336165803458308,1.00650596051929e-07,0.296252884815561,3.14674654448309e-06,0.0789605088096259,0.223908816209566,0.0297588584478267,0.64713191492788,-0.070236916752187,0.279483745865181
"209301_at","grey",0,0.0132212936105811,0.838874351791758,-0.135943912294555,0.0356950836798107,-0.00856852649591293,0.895162944860277,0.11462711242725,0.0769546952784203,0.382727322551657,9.33287905452741e-10,-0.212345335574843,0.000955470480164632
"206209_s_at","grey",0,0.0216004120609278,0.739721406717524,-0.311296173587055,9.11555418269072e-07,-0.0628929911100142,0.332962799564877,-0.0820049784476791,0.206499955427963,0.275455105155541,1.56048878038349e-05,-0.0452177849897037,0.486591036405352
"205828_at","grey",0,-0.0329457750967748,0.612297511169599,0.21711091070034,0.000726827707664793,-0.000369788567780726,0.995462597835366,0.102328606055476,0.114608684744769,-0.00604279179833513,0.925958880292626,-0.0830083127846273,0.200982479644948
"212592_at","yellow",4,0.00898361472689264,0.890115571883132,-0.0497612015822277,0.443836474997531,0.0182215610306464,0.779289627503069,0.287259126938053,6.38815031173731e-06,0.78903596271308,4.67708031245338e-52,-0.0895956310390983,0.167392379325685
"206262_at","grey",0,-0.00665823427388761,0.91844292868978,-0.250836638784902,8.84132201263523e-05,0.0117633279954654,0.856438637736688,-0.0397461924696219,0.540880898888232,0.27594012786925,1.50546027296149e-05,-0.0319648943240067,0.622931322598059
"214146_s_at","grey",0,0.0184906700763923,0.776115773362576,0.247781070301517,0.000108364229086088,0.0628197401185862,0.333527289600907,0.196902849006774,0.00222760963625765,0.0832845582307477,0.19948230479515,-0.00594459474351821,0.927158714673513
"207457_s_at","grey",0,-0.0267666059339523,0.680554923150693,-0.108851562709783,0.0931570657404345,-0.090832757544368,0.161581158088749,-0.328603959528743,2.00858265796028e-07,-0.248915537172513,0.000100509332539613,0.448224316836716,3.26264947686004e-13
"217022_s_at","yellow",4,0.0449986690192789,0.488707406776743,-0.0555908726046118,0.392235580095956,0.0064038179332526,0.921549091173829,0.239206400002031,0.000189218529868282,0.761616292180495,1.50949106207581e-46,-0.134543089160295,0.0376595914636104
"211122_s_at","grey",0,-0.0949466542819885,0.14334368278872,0.203518252223611,0.00156158070706802,-0.07260189731029,0.263571409840034,0.466933529978997,2.40874043157604e-14,0.172149087218573,0.00764520187278305,-0.116845819651587,0.071371988377415
"217109_at","grey",0,-0.0376800600106074,0.562136173162829,-0.238474133562534,0.000198260505123523,-0.0782083574679363,0.228365905979218,-0.0686342925779847,0.29062836001611,0.181395083396389,0.00490859894708769,-0.11886227962723,0.066588576604873
