"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"A_23_P42565",-0.149665366565346,0.0422932311437779,-0.625741886545289,0.532677127912008,0.999892187031336,-4.67366241731054,"A_23_P42565","down","NS","GSE104645","HTR5A"
"A_24_P212443",-0.188387012416221,0.417526783342274,-0.625619472504964,0.532757163654269,0.999892187031336,-4.67367889552827,"A_24_P212443","down","NS","GSE104645","UBE3C"
"A_23_P130182",0.102828668766382,-0.162448031284752,0.625581761678244,0.532781820678538,0.999892187031336,-4.67368397116031,"A_23_P130182","up","NS","GSE104645","AURKB"
"A_23_P78557",0.078173553813495,-0.0328376303217401,0.625424915967152,0.532884379688213,0.999892187031336,-4.67370507832872,"A_23_P78557","up","NS","GSE104645","FBXL12"
"A_24_P63950",-0.128887779409286,-0.0653298191617198,-0.625418115482849,0.532888826649541,0.999892187031336,-4.6737059933707,"A_24_P63950","down","NS","GSE104645","AP1S1"
"A_23_P82169",0.21529251041846,-0.104342298055368,0.625326844107871,0.532948512514127,0.999892187031336,-4.67371827347664,"A_23_P82169","up","NS","GSE104645","SOX4"
"A_23_P250251",0.103365588255714,-0.153469345086843,0.625301900174773,0.532964824907671,0.999892187031336,-4.67372162924958,"A_23_P250251","up","NS","GSE104645","IFNA2"
"A_23_P150768",0.215193654009117,0.59058798688848,0.625298016499403,0.532967364708219,0.999892187031336,-4.67372215171873,"A_23_P150768","up","NS","GSE104645","SLCO2B1"
"A_23_P435904",-0.110607252514159,0.0218607484509359,-0.62528004477663,0.532979117725776,0.999892187031336,-4.67372456940504,"A_23_P435904","down","NS","GSE104645","LRCH3"
"A_23_P126727",0.213827783638372,0.195182683906641,0.625126562998368,0.533079496038874,0.999892187031336,-4.67374521408759,"A_23_P126727","up","NS","GSE104645","NOL9"
"A_23_P47709",0.0697572917812903,-0.0369390373313807,0.62509905254288,0.533097489120351,0.999892187031336,-4.67374891396242,"A_23_P47709","up","NS","GSE104645","FOLR2"
"A_32_P308779",0.114062311216529,-0.166063517012648,0.624996002946604,0.533164890978838,0.999892187031336,-4.67376277164849,"A_32_P308779","up","NS","GSE104645","ZNF620"
"A_23_P24149",0.142272782283999,-0.268587069875347,0.624935339158826,0.533204571505939,0.999892187031336,-4.67377092840936,"A_23_P24149","up","NS","GSE104645","SLC39A12"
"A_24_P236251",0.105768720358495,-0.264217082003211,0.624878865086166,0.533241512875626,0.999892187031336,-4.67377852112414,"A_24_P236251","up","NS","GSE104645","DLK1"
"A_23_P15678",0.12964402421927,0.0628419016943746,0.62486015015097,0.533253755160121,0.999892187031336,-4.67378103712324,"A_23_P15678","up","NS","GSE104645","TEKT1"
"A_23_P371276",0.13528986196796,0.0278270764807737,0.624843854606168,0.533264414929263,0.999892187031336,-4.67378322780358,"A_23_P371276","up","NS","GSE104645","RNF165"
"A_24_P222758",-0.12005679004847,-0.121045393480069,-0.624821995895318,0.533278714027937,0.999892187031336,-4.67378616627567,"A_24_P222758","down","NS","GSE104645","DFFA"
"A_23_P166526",-0.14348026864986,0.259658037376928,-0.624792847495586,0.533297782056345,0.999892187031336,-4.67379008454439,"A_23_P166526","down","NS","GSE104645","RIBC2"
"A_32_P88310",-0.0767215577987835,-0.0432189438240583,-0.62477906877215,0.533306795814686,0.999892187031336,-4.6737919366841,"A_32_P88310","down","NS","GSE104645","LOC730183"
"A_23_P48384",-0.130812829236964,-0.0182658408960529,-0.624569247824748,0.533444066011964,0.999892187031336,-4.67382013588383,"A_23_P48384","down","NS","GSE104645","VPS36"
"A_23_P15067",0.173155512664644,-0.200591595263646,0.624555616283979,0.533452984737996,0.999892187031336,-4.67382196759125,"A_23_P15067","up","NS","GSE104645","RHOT2"
"A_23_P2922",-0.106808384535675,-0.215572724831545,-0.624471658409032,0.533507917649307,0.999892187031336,-4.67383324836946,"A_23_P2922","down","NS","GSE104645","MBIP"
"A_23_P126103",0.122731548160019,-0.0550781453932179,0.624308801733457,0.53361448161679,0.999892187031336,-4.67385512590296,"A_23_P126103","up","NS","GSE104645","CTH"
