"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval","HubScore"
"211649_x_at","yellow",4,-0.0939926019057957,0.147426632741064,0.15525938356864,0.0162944352072055,0.118122324966528,0.068312476199871,0.493217644411754,4.6829877782461e-16,0.848541682879609,1.85665950329317e-67,-0.333529022799236,1.28341865040483e-07,0.079756640599377
"211634_x_at","yellow",4,-0.0858562851774284,0.185904890065889,0.246168404068624,0.000120525059788117,0.141919090515733,0.0282621508385135,0.56404162953616,1.78502559139719e-21,0.926601586350715,1.19847380554404e-102,-0.333220786389641,1.3202095416833e-07,0.0795545700435846
"205692_s_at","yellow",4,-0.102442807529898,0.114202457023172,0.215635925889471,0.00079153220448275,0.123429983197616,0.0567190539698631,0.65993005659956,2.90912823807673e-31,0.762991251776558,8.32752173198129e-47,-0.300606959117313,2.21413227873511e-06,0.0781629659527417
"211635_x_at","yellow",4,-0.0833278392904365,0.199248001744089,0.235126848022273,0.00024496731536951,0.134990729494987,0.0370221170326009,0.548838116411702,3.34694662368117e-20,0.895148902679907,3.98471015691502e-85,-0.340553589259365,6.68301510080754e-08,0.0745908239035219
"206150_at","yellow",4,-0.0790851058933762,0.223176488856211,0.25293540646693,7.67668157904772e-05,0.219388612910412,0.000636439495171291,0.673391150555836,6.19852926251838e-33,0.847778146555279,3.21104862596618e-67,-0.420709635134011,1.14062321815005e-11,0.0670466244944144
"215214_at","yellow",4,-0.0805671776890734,0.214595880733996,0.225118684007606,0.000452968976293848,0.124500908268075,0.0545892169603754,0.574331086964792,2.2502824680099e-22,0.822515162703268,5.16701263905811e-60,-0.319116465433434,4.65659130339049e-07,0.0662677252654713
"222838_at","yellow",4,-0.0752044149396715,0.246791607849196,0.309177187974557,1.08993467584129e-06,0.167012996327101,0.00969239964695019,0.769196806690009,5.4007406102427e-48,0.847399037101599,4.21008380971763e-67,-0.327344615209185,2.24948061593266e-07,0.0637281488056668
"224342_x_at","yellow",4,-0.065331743557681,0.314519494717587,0.177053250429104,0.00605952135277609,0.124072226510239,0.0554336780509775,0.496687797690331,2.71287247767027e-16,0.915987624220909,5.62447761974409e-96,-0.308366742922151,1.16661401943838e-06,0.0598430685676099
"211639_x_at","yellow",4,-0.0647281105027503,0.319021156760573,0.199938563650331,0.00189512502320229,0.107808730893566,0.0963536280883549,0.56965575355915,5.81849275748293e-22,0.915132111266587,1.77384308808213e-95,-0.339255036678068,7.54904761727329e-08,0.0592347724226788
"216560_x_at","yellow",4,-0.065108976137934,0.316175952753438,0.263013035610793,3.83019272544492e-05,0.195771979574284,0.00236447369968057,0.563752439839524,1.89004403398555e-21,0.907773869037202,2.15465582901808e-91,-0.356109772870597,1.48573430063073e-08,0.0591042271777832
"211881_x_at","yellow",4,-0.061045155778716,0.347389882488987,0.213696253284212,0.000884713624881,0.138589274221578,0.0322215860443384,0.554260474993501,1.19694442943052e-20,0.934980725383367,1.14740685445812e-108,-0.354666495087711,1.71406767322308e-08,0.0570760440311245
"216853_x_at","yellow",4,-0.0646574344416687,0.319550958668216,0.199467099686907,0.0019435976388626,0.112608422363267,0.0823365495201849,0.511432549283031,2.48575046516285e-17,0.844704075374731,2.82786326804606e-66,-0.26344163857241,3.71624917649624e-05,0.054616398376152
