"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"243473_AT",-0.119261555700153,8.71839864058644,-0.0779483531809577,0.938059786140568,0.987067727017466,-5.37686697098991,"243473_at","down","NS","GSE28702",NA
"237121_AT",-0.14576268761457,23.8572954681376,-0.0779302033710091,0.938074179018878,0.987067727017466,-5.37686810440235,"237121_at","down","NS","GSE28702",NA
"242101_AT",-0.0739647423142036,15.3925596080708,-0.0778698471658372,0.938122041900528,0.987067727017466,-5.37687187160583,"242101_at","down","NS","GSE28702",NA
"243300_AT",-0.128289580971973,16.8082319654522,-0.0778493753655563,0.938138276229257,0.987067727017466,-5.37687314871452,"243300_at","down","NS","GSE28702",NA
"1556824_AT",0.189990650196605,38.6365373406881,0.0772804410112474,0.938589456935768,0.987214392635202,-5.37690850668508,"1556824_at","up","NS","GSE28702",NA
"1569274_AT",0.0964211086506305,24.8580458215997,0.0770332099507487,0.938785524283967,0.987287667395524,-5.37692379070789,"1569274_at","up","NS","GSE28702",NA
"1563277_AT",-0.0575867304059439,7.71602470460154,-0.0769811211345855,0.938826833961287,0.987289948111457,-5.37692700463534,"1563277_at","down","NS","GSE28702",NA
"241540_AT",-0.0645377098638455,6.21670574974597,-0.0767638676671299,0.938999131306581,0.987327146477278,-5.37694038593406,"241540_at","down","NS","GSE28702",NA
"233239_AT",-0.13945448308915,17.6518096414574,-0.0766796454904272,0.939065926224454,0.987373644544654,-5.37694556326257,"233239_at","down","NS","GSE28702",NA
"233046_AT",0.043447477995606,3.04062613514298,0.0762544163110642,0.939403173609044,0.987462724787164,-5.37697161629386,"233046_at","up","NS","GSE28702",NA
"1562316_AT",-0.060701495494172,5.83406842792858,-0.0760674872227561,0.939551429749611,0.987542281932408,-5.37698302326981,"1562316_at","down","NS","GSE28702",NA
"244842_X_AT",2.0913747674321,251.887710229351,0.0759860778578065,0.93961599735169,0.987553193041342,-5.37698798236433,"244842_x_at","up","NS","GSE28702",NA
"237424_AT",-0.156481599289142,36.5739795427493,-0.0757502565848774,0.939803034798156,0.98764609524468,-5.37700231757678,"237424_at","down","NS","GSE28702",NA
"239531_AT",0.220951877405093,46.7236862142546,0.0757094175570459,0.939835425890235,0.987648084817821,-5.37700479559282,"239531_at","up","NS","GSE28702",NA
