Gene,HR,HR_lower,HR_upper,p_value,HALLMARK,KEGG,Category,BH_FDR
IFNGR2,1.2264638848511733,0.6668233812786803,2.2557902183330727,0.5114504687003306,True,False,HALLMARK-only,0.9915506217574394
INHBA,1.2481516705493882,0.59038418311123,2.6387607210027837,0.5616997043000147,False,True,KEGG-only,0.9915506217574394
INHBB,1.0317322384403864,0.5100065793841364,2.0871719206497756,0.9307504894893756,False,True,KEGG-only,0.994218167036521
INHBC,2.106026307888558,0.8648232442685738,5.128616557097649,0.10097417413660423,False,True,KEGG-only,0.9915506217574394
INHBE,1.2094208978475154,0.5408753662812145,2.7043178509072585,0.6432833520652231,False,True,KEGG-only,0.9915506217574394
JUNB,1.4483429514670478,0.772944968810818,2.7139025282635627,0.24762930900011731,True,False,HALLMARK-only,0.9915506217574394
KLF10,0.9792487008641738,0.48642879391458,1.9713635996485972,0.9531596151656218,True,False,HALLMARK-only,0.9945927010197844
LEFTY1,1.6138430577759584,0.719850492426028,3.6180977057528274,0.24525702614653228,False,True,KEGG-only,0.9915506217574394
LTBP1,0.970836904964883,0.5147273736454531,1.8311136036277893,0.9271579624407009,False,True,KEGG-only,0.994218167036521
LTBP2,1.4720633256308278,0.6861893898277163,3.1579771806313714,0.32075735247399556,True,False,HALLMARK-only,0.9915506217574394
MAP3K7,0.49765789112729064,0.225701222975574,1.097306312017924,0.08366787227702911,True,False,HALLMARK-only,0.9915506217574394
MAPK1,1.1759595317753497,0.5684975075095956,2.432518704314562,0.6620620975655719,False,True,KEGG-only,0.9915506217574394
MAPK3,1.0588822823415915,0.5286762754057504,2.1208284540410127,0.8717444727475401,False,True,KEGG-only,0.9915506217574394
MYC,0.8483146260822704,0.4301863221917734,1.6728511988911954,0.6349123568671922,False,True,KEGG-only,0.9915506217574394
NCOR2,0.958881754070967,0.47738705118239705,1.9260141556267625,0.906072119881798,True,False,HALLMARK-only,0.9915506217574394
NODAL,0.9044051896541361,0.43419438198217775,1.8838307933401772,0.7884072431058514,False,True,KEGG-only,0.9915506217574394
NOG,0.831618159586838,0.34657588810226725,1.9954901281260695,0.6796947653958428,True,True,Shared,0.9915506217574394
PITX2,2.0628969291224513,0.8976952955861586,4.740521378586642,0.08805757889731966,False,True,KEGG-only,0.9915506217574394
PMEPA1,1.0574631381210544,0.5220778489536121,2.141880355058285,0.8767008369509877,True,False,HALLMARK-only,0.9915506217574394
PPM1A,0.7791078228990168,0.3794935875318685,1.599523732799494,0.4964283654451842,True,False,HALLMARK-only,0.9915506217574394
PPP1CA,1.1745510762806894,0.6060840789282549,2.276202722948333,0.6336453990025066,True,False,HALLMARK-only,0.9915506217574394
PPP1R15A,1.2970108918698557,0.6549590810440025,2.568461606712221,0.45565670652481605,True,False,HALLMARK-only,0.9915506217574394
PPP2CA,0.7358787487741781,0.3117390356866959,1.7370860588716457,0.4840204301919049,False,True,KEGG-only,0.9915506217574394
PPP2CB,1.3109487245867255,0.6450661435619804,2.6642020754735736,0.4542768290297181,False,True,KEGG-only,0.9915506217574394
PPP2R1A,1.164666076875551,0.5794881934401628,2.3407673978171424,0.6686480325959111,False,True,KEGG-only,0.9915506217574394
PPP2R1B,1.226345496206146,0.6042254576985365,2.489010115186911,0.5720977333610815,False,True,KEGG-only,0.9915506217574394
RAB31,1.1591508888544533,0.5777563314537059,2.325601140105776,0.677614229069705,True,False,HALLMARK-only,0.9915506217574394
RBL1,0.6053305057755975,0.2072285545632382,1.7682168463454775,0.35871076268661395,False,True,KEGG-only,0.9915506217574394
RBL2,0.9395694297306219,0.43543317031313933,2.027385081043486,0.873783861121443,False,True,KEGG-only,0.9915506217574394
RBX1,1.253989196758055,0.5955579719852387,2.6403624492577307,0.5513323988945482,False,True,KEGG-only,0.9915506217574394
RHOA,1.3608311754083775,0.6128072391642853,3.021931481241669,0.44910886880462264,True,True,Shared,0.9915506217574394
ROCK1,0.6664396046293484,0.31091304120265945,1.428507935532436,0.2968610365810902,False,True,KEGG-only,0.9915506217574394
ROCK2,0.24364217187736673,0.0960249836079445,0.6181881598593588,0.002954838544738898,False,True,KEGG-only,0.34276127118971217
RPS6KB1,0.5572579325542072,0.20715132303623537,1.4990799906224572,0.24681788437792554,False,True,KEGG-only,0.9915506217574394
RPS6KB2,0.993374907578819,0.4723215968519262,2.0892411305862626,0.9860186260109931,False,True,KEGG-only,0.9945927010197844
SERPINE1,1.3022968489107243,0.6446523066447741,2.63084001282779,0.46160218317964097,True,False,HALLMARK-only,0.9915506217574394
SKI,0.9058662461920453,0.4775051578280489,1.7185021827252502,0.7621836557831361,True,False,HALLMARK-only,0.9915506217574394
SKIL,0.782882690960021,0.35565134239181856,1.7233319117619705,0.5431759860350814,True,False,HALLMARK-only,0.9915506217574394
SKP1,0.9325026885413841,0.42020046822153817,2.0693962284650746,0.8635750723943139,False,True,KEGG-only,0.9915506217574394
SLC20A1,1.0176386371656712,0.506893526320762,2.043009709295606,0.9607824023611955,True,False,HALLMARK-only,0.9945927010197844
SMAD1,0.9502585367717497,0.44873946357137307,2.0122840980398053,0.8939710786125453,True,True,Shared,0.9915506217574394
SMAD2,1.26912347689762,0.6051938192623015,2.6614191162362313,0.528186213085601,False,True,KEGG-only,0.9915506217574394
SMAD3,1.4598878321502764,0.7100625961177227,3.0015276035003056,0.30354008057275406,True,True,Shared,0.9915506217574394
SMAD4,0.7461728868754989,0.3389044837047575,1.642864004104352,0.46715091857148916,False,True,KEGG-only,0.9915506217574394
SMAD5,0.692626809929756,0.30108044435279996,1.5933678418227994,0.38757884229152406,False,True,KEGG-only,0.9915506217574394
SMAD6,1.0789437002563373,0.5153840109822428,2.258741993381215,0.8402551021224567,True,True,Shared,0.9915506217574394
SMAD7,0.9327006378095788,0.4448774544414065,1.9554384495898771,0.853653049231421,True,True,Shared,0.9915506217574394
SMAD9,1.1316389241132663,0.562280539744983,2.277522631583582,0.7289312190561241,False,True,KEGG-only,0.9915506217574394
SMURF1,0.7625900715310625,0.34883860264194305,1.6670850438953924,0.4970045212819678,True,True,Shared,0.9915506217574394
SMURF2,0.5750229708978045,0.22700764835792434,1.4565650957222256,0.24325539990253098,True,True,Shared,0.9915506217574394
SP1,1.8977568832376095,0.7968380379212018,4.519715445903288,0.14788959074119873,False,True,KEGG-only,0.9915506217574394
SPTBN1,0.9923061473389266,0.47671145984562313,2.065550281433336,0.9835258882842746,True,False,HALLMARK-only,0.9945927010197844
TFDP1,1.065438244240513,0.49560430166081243,2.2904535906695993,0.8710529788204289,False,True,KEGG-only,0.9915506217574394
TGFB1,1.082815785180548,0.5524937169479314,2.122178024237452,0.8167266993190501,True,True,Shared,0.9915506217574394
TGFB2,0.9375872253994434,0.4106039206045448,2.14091917081051,0.8784157761365773,False,True,KEGG-only,0.9915506217574394
TGFB3,0.9769910947245304,0.47907168760988234,1.9924191386327847,0.948953031727591,False,True,KEGG-only,0.9945927010197844
TGFBR1,1.2653934404559957,0.6025902043307432,2.6572296523263774,0.5340482623978956,True,True,Shared,0.9915506217574394
TGFBR2,1.2904327287516608,0.6323527261250422,2.6333667249885084,0.4835359764923802,False,True,KEGG-only,0.9915506217574394
TGIF1,0.9466366283315153,0.4676551746131771,1.9162001293797069,0.8788554577812107,True,False,HALLMARK-only,0.9915506217574394
THBS1,0.8842861975907369,0.4464687588933459,1.7514373932628995,0.7243282311905745,True,True,Shared,0.9915506217574394
THBS2,1.3350906545052694,0.5998247387823304,2.9716464502044246,0.4789877874850833,False,True,KEGG-only,0.9915506217574394
THBS3,0.8011976637809854,0.38228665228456277,1.6791527839436169,0.5571326399825867,False,True,KEGG-only,0.9915506217574394
THBS4,1.0458154491136504,0.5613138506567533,1.9485176649838427,0.8877937852082041,False,True,KEGG-only,0.9915506217574394
TJP1,1.6821386581677509,0.712976950410056,3.9686983761186285,0.2350333711493954,True,False,HALLMARK-only,0.9915506217574394
TNF,0.31427150304336643,0.11139475931476892,0.8866357648482482,0.028718015786459463,False,True,KEGG-only,0.9915506217574394
TRIM33,0.9321983419852113,0.43386955109523906,2.002891759991757,0.8572099212276885,True,False,HALLMARK-only,0.9915506217574394
UBE2D3,1.2988287040288302,0.6227142172654906,2.709037236723289,0.48574161280724903,True,False,HALLMARK-only,0.9915506217574394
WWTR1,1.069000946502951,0.5578619524634901,2.0484691931002317,0.8406340954141522,True,False,HALLMARK-only,0.9915506217574394
XIAP,0.5278691763161194,0.25118144564883854,1.1093409649939516,0.0917730350545094,True,False,HALLMARK-only,0.9915506217574394
ZFYVE16,0.5426481981743285,0.25020723352893887,1.1768927014165935,0.1217167072625288,False,True,KEGG-only,0.9915506217574394
ZFYVE9,1.3800561844738348,0.6537142454301053,2.9134366974845327,0.3981406491456785,False,True,KEGG-only,0.9915506217574394
